row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
32,,,,,,,,,,,,,,01,01,04,04,01,01,01,01,,,,01,03,02,02,02,02,02,02,02,02,02,03,01,04,02,02,02,02,02,02,02,02,02,03,04,03,02,02,02,02,03,05,03,02,02,03,01,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,01,04,02,04,01,03,02,04,01,,,01,01,02,02,02,02,02,02,02,02,02,02,02,02,04,02,02,02,02,02,02,02,03,04,01,04,03,02,02,02,05,03,03,02,02,02,02,04,01,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,01,02,02,04,03,02,02,02,01,,,01,03,02,02,02,02,03,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,04,04,02,02,02,02,02,02,02,03,02,02,02,02,02,03,01,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,01,02,02,03,01,01,03,02,01,,01,01,02,02,02,02,03,01,01,01,01,01,04,04,04,03,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,01,01,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,01,04,02,02,03,03,02,04,01,,01,04,02,02,02,02,02,01,02,03,01,01,01,01,01,01,02,02,02,02,02,02,03,04,04,03,03,03,02,02,02,02,02,02,02,02,02,02,02,04,01,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,01,01,04,02,02,02,02,04,01,,01,03,02,02,02,02,02,01,02,02,04,01,01,04,02,01,02,02,02,02,02,02,01,04,01,01,01,01,01,01,01,04,02,02,02,02,02,02,02,04,01,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,01,01,01,03,02,02,02,01,01,01,02,02,02,02,02,02,04,04,02,02,03,02,02,04,04,02,02,02,02,02,02,01,02,02,01,01,01,04,03,04,04,02,02,02,02,02,02,02,03,01,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,01,04,02,02,02,04,01,01,02,02,02,02,02,07,07,01,04,02,02,02,04,01,02,02,02,02,03,03,02,04,03,02,03,04,04,02,02,01,03,02,02,02,02,02,02,02,03,01,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,01,03,02,02,02,04,04,02,02,02,02,02,07,07,07,04,01,01,01,04,03,02,03,01,01,01,03,02,03,04,02,02,02,02,02,04,04,02,02,02,02,02,02,02,02,02,01,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,01,01,03,02,02,04,01,03,02,02,02,02,02,07,07,07,07,07,02,02,02,02,02,02,02,02,02,02,02,02,04,04,04,04,01,01,07,07,02,02,02,02,02,02,02,02,01,,,,,,,,,,,,,,,,,
