通用色号,颜色名称,HEX,数量
01,轮廓黑,#111317,328
02,主体白,#F7F7F5,736
03,浅灰,#C9CDD2,507
04,阴影灰,#858C95,130
05,电路蓝,#1496E8,107
06,闪电黄,#FFC21A,68
07,腮红粉,#F5C6BC,21
