行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
75,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D2,D1,D1,D1,D2,D1,D2,C12,C12,D22,D22,D22,D22,C12,C18,M11,C12,M11,H2,G17,C12,D3,D4,C27,H2,C3,D24,D10,E21,E21,C20,G17,E21,D22,C20,C26,C26,C26,C26,C26,C18,C18,C12,C9,C12,C12,C12,C12,C12,C12,D10,C26,C3,E17,D17,C20,C26,C26,C26,C20,C3,C6,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1
76,D1,D24,D1,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D2,D2,D1,D1,D1,D1,D1,D1,C12,C12,D22,D22,D22,D22,C26,M11,M11,M11,M11,C12,E21,H2,G17,C12,C12,C20,C25,C25,C3,D24,D4,C12,C3,C18,E21,D11,C26,C26,C26,C26,C18,C18,C18,C18,C12,C16,C12,C12,C12,C12,C12,C12,C12,D10,D8,H2,H2,C6,C26,C26,C26,C26,C3,C26,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1
77,D11,D1,D24,D1,D1,D1,D1,D1,D11,H2,D2,D2,D2,D1,D2,D2,D2,D1,D17,H2,D1,D1,D22,C12,D22,D22,D22,D22,C12,C18,C26,C26,M11,E21,M11,E21,H2,H2,H2,C18,D3,D22,D3,D3,D24,D3,D4,C3,C26,G17,C16,C26,C16,C16,C18,C18,C16,C18,C18,C16,C16,C12,C12,C16,C12,C12,C12,C12,D4,D22,H2,C27,C6,C26,C26,C20,C26,C3,C20,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D11,D11,C6,C6
78,D4,D10,D22,D3,D24,D1,D1,D24,D1,D11,D1,D1,D1,D1,D2,D2,D1,D11,D17,D1,D1,D22,C12,D22,D22,D22,D22,D22,C12,C12,C18,C18,M11,M11,M11,D22,M11,C27,H2,H2,D3,D22,D24,D24,D24,D3,C12,C3,C26,C16,C16,C20,C16,C12,C12,C16,D4,D22,D22,D22,C12,C16,C16,C16,C12,C12,C12,C12,C12,D10,D8,D17,C26,C26,C20,C20,C26,C3,D2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,C6,D11,D11,D1
79,C25,D17,C16,C9,D24,D3,D1,D1,D1,D1,D1,D2,D2,D2,D2,D2,D2,D1,D1,D1,D2,C12,D22,D22,C12,C12,D22,C12,C12,D1,D1,D10,C12,C18,D22,D22,D22,C16,D22,E17,C16,D22,D22,D24,D1,D24,C16,C3,C26,C9,C12,C20,C16,C16,C12,D4,D3,D3,D3,D3,C16,C12,C12,C12,C12,C16,C16,C12,C12,D4,C16,C3,C26,C26,C20,C20,C26,B10,D2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,C6,D11,D1,D1
80,C6,C3,C3,D22,D3,D24,D3,D2,D11,D1,D2,D2,D2,D2,D2,D2,D2,D1,D1,D22,C12,C12,C12,D22,D22,D22,C12,C12,D1,D1,D1,D4,D10,C12,M11,M11,C18,D2,D22,C16,C18,D3,D24,D24,D1,D24,C12,C3,C6,D22,D22,D22,C12,C16,C16,D3,D3,D3,D24,D3,C16,C16,C12,D4,D22,D1,C16,C12,C16,C16,D10,C26,C26,C26,C20,C20,C3,B10,D22,D24,D24,D1,D1,D24,D24,D24,D1,D24,D11,D11,D1,C6,D11,C6,D1,C3
81,D1,D1,D1,D17,D3,D3,D24,D10,D11,D11,D2,D2,D11,D11,D11,D2,D11,D11,D10,D10,D22,D22,D2,D2,D2,D2,D22,D1,D1,D11,D11,D22,C12,C12,C12,D22,D22,D22,D22,M11,E17,D22,D2,C27,D1,D3,D10,C3,C20,D22,D22,D11,D22,C12,D4,D3,D3,D3,D3,D4,C16,C16,C16,C16,D4,C16,C16,C16,C16,C16,C12,C20,C26,C20,C20,C26,C3,C26,D24,D24,D24,D1,D24,D24,D24,D24,D1,D1,D1,D1,C6,D11,D11,D1,C3,C3
82,D1,D1,D1,D24,D8,D3,D3,D3,D10,D11,D1,D2,D11,D11,D11,D11,D11,C12,D10,G17,M11,D11,D2,D2,D22,D22,D1,D11,D2,D11,D11,D2,C12,D4,D22,D11,D1,D1,C12,C18,C18,M11,D4,D17,D11,D3,D10,C26,C9,D22,C16,D22,D24,D4,D4,D4,D3,D3,D3,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C12,C16,C26,C20,C26,C26,B10,C6,D24,D1,D1,D24,D24,D24,D24,D24,D24,D11,D1,D1,C6,D11,D1,C6,C3,C3
83,D1,D1,D1,D24,D1,M11,D3,D24,D10,D22,D11,D11,D11,D11,D11,D11,C12,D10,G17,G17,D22,D2,D22,C12,D2,D11,D2,D2,D2,D2,D11,D2,C12,C12,D22,D17,D11,D1,D2,D1,D4,D10,D10,D3,M11,D4,D10,C20,C9,D22,C16,C16,C16,C16,D4,D4,D3,D3,D4,D4,C16,C16,C16,C16,C16,C16,C16,C16,C16,C12,C16,C16,C3,C20,C3,B10,B10,D24,D24,D24,D24,D24,D24,D24,D1,D17,D17,D1,D1,C6,D11,D1,C6,C3,C3,C25
84,D1,D1,D11,D1,D24,D8,C26,D22,D3,D10,D11,D11,D11,D11,D11,C12,C12,M11,G17,C12,D22,C16,C12,D22,D11,D2,D2,D1,D1,D2,D11,D1,C12,D22,D4,D1,D1,D11,D1,D17,D1,D10,D4,D4,D4,C12,D3,D22,D22,D22,C16,D22,D22,C16,D4,D10,D3,D3,D10,D4,C16,C16,C16,C16,C16,C16,C16,C16,C12,C12,C16,C16,C3,C20,C3,B10,C20,D24,D24,D24,D24,D1,D24,D24,D24,D1,D1,D1,D1,C6,D1,D1,C3,C3,C25,H2
85,D1,D1,D1,D1,D24,D1,C3,D3,D3,D10,D11,D8,D2,D11,D2,D10,G17,G17,C12,C12,C12,D22,D2,D11,D11,D2,D11,D11,D11,D2,D2,D11,D22,D22,C12,G17,D22,D1,C12,D2,D17,D22,D10,C12,D4,G17,D1,D22,C16,D22,D4,D4,D4,D4,D4,D24,D17,D11,D1,D4,D4,D4,D4,C16,C16,C12,C12,C16,C16,C12,C16,C20,C3,C26,B10,B10,C6,D1,D2,D1,D11,D11,D11,D11,C6,C6,C6,D11,C3,C3,C3,C25,C25,C25,H2,H2
86,D1,D1,D1,D1,D1,D1,D17,D3,D3,D3,D3,D11,D11,D11,D11,D1,D22,D22,C12,D22,D2,D11,D11,D11,D11,D11,D1,H2,H2,D1,D1,D11,D22,C16,D22,G17,G17,E21,G17,C12,D11,D17,D4,D10,D10,D22,D17,D10,C16,D22,D11,D1,D1,D1,D11,D11,D11,D11,D17,D11,D4,D4,D4,D4,C12,C12,C12,C12,C12,C16,D3,C9,C6,C6,B10,D2,D1,D11,D11,D17,D17,D17,D17,C27,C27,C27,C27,C27,H2,H2,H2,H2,H2,H2,H2,H2
87,D1,D1,D2,D1,D1,D1,D8,D3,D3,D3,D3,D4,D8,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D2,D11,D2,C12,M11,G17,G17,G17,G17,G17,D2,C27,D17,D3,D10,D11,D1,C12,D10,D11,C27,D8,D11,D11,D11,D11,D11,D11,D11,D17,D2,D4,C16,D4,D4,C12,C12,C12,C12,D10,D11,D2,D1,C6,D1,D24,D1,D1,D24,D1,D1,D1,D1,D1,D1,C6,C6,C6,C6,C6,C3,C3,C3,C25,C25,H2
88,D1,D11,D8,D1,D1,D24,D8,D3,D3,D3,D24,D3,D22,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,D1,D22,E21,G17,G17,D22,D22,D22,D2,D17,D17,D17,D1,C27,D22,D10,D24,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D8,D2,D4,D4,D1,D24,D3,D22,D22,D24,H2,D2,D1,C6,D1,D24,D1,D1,D11,D1,D1,D1,C6,C6,C6,C6,D17,D8,D17,C27,D17,D17,D17,C6,C3,C25
89,D11,D1,D1,D1,D1,D1,D8,D3,D3,D3,D3,D11,D22,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D2,D22,D8,G17,G17,D1,D17,D11,D11,D11,D11,D11,D17,D11,D1,D1,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D8,D1,D10,D22,D8,D1,D11,D1,D8,D24,D3,C9,D2,D1,D1,D1,D1,D1,D1,D1,C6,C6,D11,D11,C3,D8,D17,D17,D11,D11,D17,C27,D1,C6,C3
90,D1,D1,D1,D1,D1,D8,D8,D3,D3,D3,D24,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D4,M11,E21,D22,D17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,D1,D10,D2,D11,D1,D11,D8,D24,C16,C9,D1,D1,D1,D1,D1,D1,D1,C6,C6,D11,D11,D17,C6,C6,C27,D17,D17,C27,C27,C6,D1,C6,C6
91,D1,D1,D1,D1,D1,D11,D22,D3,C3,D3,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D10,D22,E16,D22,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D10,D22,D1,D1,D2,D4,D22,D1,D1,D1,D1,D1,D1,D1,C6,C6,D11,D11,D17,C6,C6,C3,C6,D1,C6,D1,D24,D24,D1,C6,C6
92,D11,D8,D1,D11,D11,D8,D4,D17,C9,D24,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D4,D22,E16,E21,D1,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D1,D1,D11,D1,D22,D4,D22,D4,D22,D1,D11,D11,D11,D17,D17,D11,D17,D11,D11,D11,D17,C3,C6,D17,D17,C6,D17,C6,D1,D1,C6,C6,C6,D24
93,E17,D11,D11,D11,D11,D11,D8,C6,D3,H2,C27,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D22,D22,M11,E16,E21,D1,D11,D11,D11,D11,D11,D17,D11,D11,D11,D11,D11,D11,D11,D1,D11,D11,D11,D11,D11,D11,D11,D11,D1,D1,D1,D1,D11,D17,D11,D1,D1,D11,D11,D11,D11,D11,D11,D11,D11,D17,D17,D11,D17,D17,C3,D17,D17,D11,D17,C3,C6,C6,C6,C3,D1,D24,D3
94,D11,D1,D17,D17,D11,D17,D1,D22,H2,D11,D11,D11,D11,D2,D2,D2,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D22,D22,D10,M11,E17,E21,D2,D1,D1,D11,D11,D2,D11,D11,D11,D11,D11,D11,D11,D17,D11,D11,D11,D11,D11,D11,D11,D1,D1,D11,D1,D1,D1,D11,D1,D1,D11,D11,D11,D11,D11,D11,D11,D1,C6,D11,D11,D17,C3,C6,C3,C6,D1,C6,D1,D24,D3,D24,D1,D1,D24,D3,D3
95,D17,D11,D8,C27,D1,D1,D1,H2,C27,D8,D17,E17,D8,D8,D8,D8,D8,D8,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D22,C12,D24,D3,D22,M11,M11,M11,D11,D1,M11,E21,D11,D17,D11,D17,D11,D11,D17,D17,D17,D17,D17,D17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D17,D17,D17,C3,C3,C3,C3,D17,C6,C3,C6,D24,D24,D24,D1,D1,D24,D3,D24,D3
96,M11,M11,D2,M11,D2,E21,E17,M11,M11,M11,M11,D2,M11,M11,M11,M11,M11,M11,M11,E21,M11,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D22,C12,C12,D11,D24,D10,C12,C12,G17,G17,C12,G17,G17,D2,D2,D2,D2,E21,E17,D2,D2,D2,D2,D2,D2,D2,D2,D11,D2,D2,D2,D2,D2,D2,D2,D11,D11,D2,D2,D2,D2,D2,D2,C6,C6,C6,C26,C26,C26,C26,C6,D2,D2,C9,D3,D3,C9,C9,D3,D3,D4,D3,D4,D22
