行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
47,C16,C16,C16,C16,C6,C9,C12,C12,C9,C26,C26,C26,C3,C26,C16,C16,C16,D2,D2,D11,C16,C16,C20,C20,C18,M11,H2,C20,C26,C20,D22,D3,D4,C12,C18,C12,C12,C18,C18,C16,C12,C16,M8,D3,D10,M1,A1,D3,F22,E16,E16,E16,E16,E8,H2,H2,B28,B28,A1,B28,M1,M8,F22,G17,B7,B28,B10,B10,B10,B10,B10,C12,B10,B10,B10,G17,E21,E21,E21,C18,C18,C26,D2,D3,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
48,C16,C16,C16,C12,C16,C9,C12,C12,C16,C26,C26,C26,C26,C3,C16,C16,C12,D2,D2,D2,D11,C16,C20,C26,C18,M11,H2,C20,C26,C20,C9,D24,D24,D3,D4,C12,D10,C18,C18,B22,C18,C12,G17,D22,D3,B28,B28,D3,E16,E16,E16,E16,E16,E11,F22,F22,F22,E11,F22,E21,E21,H2,E21,B22,B28,B10,B10,B10,B10,B10,B10,D10,C26,B10,C26,C18,E21,E21,C26,C18,C12,C3,C20,D3,D24,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3
49,D4,C16,C16,C16,C12,C9,C16,C12,C12,C16,C26,C26,C3,C26,D4,C26,C26,C16,D2,D2,D11,M11,C18,C26,C26,D22,H2,C26,C20,C20,D1,D24,D24,D3,D22,C16,C12,B10,B10,B25,C18,C18,C12,C25,C3,C6,C25,B31,E8,F22,E16,E16,E16,E8,F22,E8,F22,G17,B25,B31,B31,H3,M3,B7,B7,B7,B7,B7,B10,B10,B10,D10,C20,B10,C26,C18,C26,C26,C18,C12,C18,C26,C6,D3,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3
50,D22,D4,C12,C16,C16,C16,C9,C16,C12,C12,C16,C26,C3,C26,D4,C16,B10,C18,D22,D11,D2,D8,D11,C18,C18,C16,H2,D11,C16,C20,C9,D1,D3,C9,C16,C12,C18,B10,B10,B10,B22,C18,C12,M8,B28,B28,A1,A1,F20,F22,H2,E8,E16,E8,E16,F22,B25,B31,B28,B25,B25,B25,C25,C25,B28,B10,B10,B10,B10,B10,C26,D10,C16,B10,C3,C26,C12,C12,C12,C18,C18,C26,D2,D3,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3
51,D1,D1,D4,C12,C16,C16,C16,C16,C12,C12,E21,D11,D2,C3,D22,D4,C16,C18,C12,D2,D2,M11,H2,E17,C18,C12,D8,D17,C20,C20,C9,C9,C9,C16,C16,C18,B10,B10,B10,B7,B22,C18,C18,G17,E21,E11,F22,E8,F22,F22,H2,E16,E16,E16,E8,M8,B28,H2,B25,C18,B10,B25,B25,B10,B10,B28,M3,B10,B10,B10,C18,D10,C16,C3,C3,C18,C12,C12,C18,C26,C18,C26,D2,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3
52,D1,D1,D24,D10,D10,C16,C16,C16,C12,C12,C12,D4,C9,C6,D2,C16,D4,D22,D2,D22,D11,D2,M11,C27,H2,C12,D2,E17,C16,C16,C16,C12,C16,C16,D4,C18,B10,B10,C18,C12,B22,B22,C12,F20,F20,F22,F22,F22,E16,E8,F22,E16,H2,E16,E17,G17,C25,C25,B10,C25,B10,B10,B10,B10,B10,B10,B10,C18,B10,B10,C12,C16,C26,C3,C26,C18,D10,C18,C3,C20,C18,C26,D22,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3
53,D24,D22,D22,D2,E17,C12,C12,C12,C12,C12,C12,D4,D4,C16,D22,C16,C16,C12,D11,D2,D2,D2,D2,M11,E17,H2,D17,D8,C12,C12,C18,C18,C18,C16,D4,C18,C18,C18,C12,C18,C18,C18,C18,F20,F20,F22,F22,F22,E16,F22,M8,G17,H2,H2,E21,G17,B10,B10,B10,C25,B10,B10,B10,B10,C26,B10,B10,C26,C18,B10,C26,C26,C26,C26,C18,C18,C12,C18,C3,C20,C18,C20,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D22,D22,D3
54,D11,D8,E17,H2,C27,D3,D4,C12,C12,C12,C12,C12,C12,C12,C12,C16,C16,C12,C16,D11,D2,D2,D2,D2,D22,M11,H2,H2,C18,C12,C18,C18,C18,C16,D4,C18,C18,C12,C18,C18,C18,C18,C12,G17,E21,E17,E17,E17,E16,E17,G17,G17,E21,H2,E17,E21,B10,B10,B10,B10,C25,B10,B10,B10,B10,B10,C18,B10,C18,C18,C18,C18,C20,C26,C26,C12,C12,C26,C26,C16,C18,C20,D24,D24,D24,D24,D24,D24,D3,D3,D3,D3,D22,D2,D3,D3
55,D8,E17,D8,C27,D22,D24,D1,D24,D22,D22,D4,D4,D4,C12,C12,C12,C12,C12,C12,C16,D11,D2,M11,D2,M11,D22,D2,E17,H2,E17,C12,C12,C18,C12,C12,C18,C18,C12,C18,C18,C18,C18,C18,C12,E21,E21,E16,E17,E17,E16,E21,E21,E21,H2,E17,E21,G17,B10,B10,B10,B10,B10,B10,B10,B10,C18,C18,C18,C18,C18,C26,C26,C26,C26,C18,C12,C16,C26,D22,D4,C18,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D22,D3,D3,D3,D3
56,E21,G17,E21,D11,D3,D1,D1,D1,D1,D1,D1,D1,D4,C12,C12,D4,C12,C12,C12,C12,C16,D11,D2,D2,M11,M11,D2,D2,D11,H2,H2,C18,C12,C12,C18,C18,C18,C18,C18,C12,C12,C18,C18,C12,C12,G17,E21,H2,H2,E16,E17,E21,E16,C27,H2,E17,E21,B10,C25,B10,B10,B10,C18,C18,C12,C12,C16,C3,B10,B10,C3,C26,C26,C20,C12,C18,C18,D22,D3,C18,C18,D24,D24,D24,D2,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3
57,E21,G17,E17,D22,D24,D1,D1,D1,D24,D1,D22,C12,C12,D4,D4,C16,C16,C12,C12,C12,C12,C12,D2,M11,M11,M11,M11,M11,D2,M11,E17,H2,E21,C12,C18,D10,C12,C18,D4,D10,D10,C18,C18,C12,C18,C18,C12,G17,E21,E16,H2,H2,H2,H2,E17,E21,G17,C12,B10,C25,C25,C25,C18,C16,C26,C18,C18,C20,C20,C18,C18,C20,C20,C12,C12,C12,D24,D3,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D3,D1,D24,D3,D3
58,E21,E21,D11,D3,D1,D1,D1,D1,D1,D22,C12,C12,D10,C12,C12,C12,C16,C16,C16,C18,C12,C12,D22,M11,D22,M11,M11,M11,D2,D2,D2,M11,H2,C27,D10,D10,D3,C16,D3,D10,D10,C20,C12,C12,C18,C18,C18,C18,C12,C12,C12,G17,G17,C12,G17,G17,C18,D10,C18,B10,B10,C25,B10,B10,C18,C12,C26,C18,C12,C20,C26,C26,C18,C12,C18,C12,C12,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D3
59,E16,D8,D22,D1,D1,D1,D1,D1,D22,C12,D4,D24,D24,D22,C16,C12,C12,C12,C12,C12,C18,C12,C12,M11,M11,M11,M11,M11,M11,M11,M11,M11,D2,E17,C27,D10,D3,D24,D3,D3,D3,C20,C12,C18,C18,C18,C18,C18,C16,C16,C6,C12,C12,C16,C20,D22,C12,G17,D10,C18,B10,B10,B10,C18,C18,B10,C3,C26,B10,B10,B10,B10,C18,C18,C18,C16,D3,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D2,D2,D24,D24,D24,D3,D3,D24,D3
60,D8,M11,D24,D1,D1,D1,D1,D1,D4,C12,D24,D24,D24,D24,D24,D1,D22,C12,C12,C12,C16,C12,C12,C12,C18,C18,C12,C18,C12,D22,M11,M11,M11,M11,E17,C12,D3,D1,D3,D3,C6,B10,C12,C18,C18,C18,C18,C18,C9,C6,C3,C18,C12,C6,C6,C25,C25,C9,C16,G17,C18,B10,B10,C18,D8,C25,C25,B10,B10,C18,B10,C18,C18,C18,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24
61,D8,D22,D1,D1,D1,D1,D1,D24,D4,C12,D22,D24,D24,D1,D1,D1,D1,D24,D22,C12,C12,C12,C12,C12,C12,C12,M11,E17,E17,M11,C12,C12,D22,D2,M11,M11,D24,D1,D3,D24,C25,C3,C12,C18,C18,C18,C18,C18,C16,C20,D4,D24,E21,C26,C25,C27,C25,C12,E21,E16,G17,C18,B10,B10,H2,H2,C18,C18,D8,C18,C18,C18,B10,C26,C18,C18,D24,D24,D24,D24,D3,D3,D24,D3,D24,D24,D24,D24,D24,D24,D24,D1,D1,D24,D24,D24
62,M11,D24,D1,D1,D1,D1,D24,D1,D1,D3,C12,C12,D22,D24,D1,D1,D24,D1,D1,D24,D4,C12,C12,C12,M11,D8,E17,E17,E16,H2,H2,E21,G17,G17,D2,C12,D10,D10,D3,D1,C25,C3,C12,G17,C18,C18,G17,G17,D1,C20,M11,E17,E21,C3,C3,C26,C18,H2,H2,H2,H2,E17,D17,B10,E17,H2,C18,C26,H2,C18,C18,B10,B10,C18,C18,C18,D22,D24,D1,D24,D24,D24,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3
63,D22,D1,D1,D1,D24,D1,D1,D1,D1,D1,D1,D22,D22,D22,D1,D24,D1,D24,D24,D1,D24,D4,C18,M11,M11,M11,M11,E17,E17,E17,H2,H2,G17,E16,G17,D10,D4,D10,D4,D2,C6,C3,C12,E21,E21,G17,C16,C3,C25,C20,G17,B10,C6,C25,E21,E21,E16,H2,E16,H2,E16,E21,E21,D10,C18,H2,C18,C18,H2,C26,B10,B10,B10,C18,C18,C26,D2,D24,D1,D1,D24,D24,D24,D24,D24,D3,D22,D24,D24,D24,D24,D24,D24,D24,D24,D2
64,D1,D1,D1,D24,D1,D1,D1,D24,D24,D1,D24,D1,D1,D1,D24,D24,D1,D24,D24,D22,D22,M11,M11,M11,M11,M11,E21,E17,E17,E17,E17,H2,E17,E21,E16,M11,D10,D4,D10,C25,D2,D1,C9,G17,E21,G17,C12,C16,C3,E21,C18,C6,C25,C27,C27,H2,H2,E16,E21,E16,E16,E16,H2,E21,E17,C27,E17,M11,D8,B10,C3,C3,B10,C18,C18,C26,C20,D24,D1,D1,D1,D24,D24,D24,D3,D3,D3,D3,D3,D3,D24,D24,D24,D24,D24,D24
65,D1,D1,D1,D1,D1,D1,D1,D1,D24,D1,D2,D24,D1,D1,D24,D1,D24,D22,D22,M11,M11,M11,M11,M11,M11,M11,M11,M11,E17,E17,E17,H2,E21,E21,E16,H2,E17,D10,D10,D2,C27,D3,D22,C12,G17,G17,C12,G17,M11,E17,E17,D22,C20,C3,C3,H2,H2,E21,E21,E21,E21,H2,E16,E16,H2,E17,H2,E17,D8,C18,H2,D17,B10,C18,C26,C3,C26,D24,D24,D2,D1,D1,D24,D24,D24,D3,D3,D3,D3,D3,D3,D24,D24,D24,D24,D24
66,D1,D1,D1,D1,D24,D24,D11,D1,D24,D24,D1,D1,D1,D1,D2,C12,C12,C18,M11,M11,M11,M11,M11,M11,C18,C26,E17,M11,M11,M11,E17,E17,G17,E16,E17,E16,H2,E21,D10,D4,H2,C6,D3,D10,D4,C18,C12,D11,D11,M11,M11,E17,H2,D11,D17,H2,H2,E21,M11,E17,E17,H2,E16,H2,H2,H2,C27,C27,E17,D11,E17,B10,B10,C18,C26,C3,C3,D24,D1,D1,D1,D1,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D24,D24,D24
67,D1,D1,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D22,C12,D10,D22,M11,D22,M11,M11,M11,M11,M11,C12,C16,D11,E17,M11,D22,D17,E21,E21,E17,E17,E17,E16,E21,G17,D22,C25,B10,D3,D22,C16,C18,M11,M11,E21,H2,H2,M11,D8,H2,H2,H2,H2,E21,G17,M11,H2,H2,H2,H2,H2,H2,D8,D8,E17,D17,C18,B10,C26,C18,C26,C3,B10,D2,D24,D1,D1,D1,D24,H2,D11,D24,D24,D24,D24,D3,D3,D3,D3,D3,D24,D24
68,D24,D24,D24,D24,D24,D24,D2,D24,D24,D24,D24,D22,D10,C12,D4,C12,G17,D22,D22,M11,M11,M11,M11,D22,C12,C12,C26,C26,E17,E21,G17,G17,E21,E17,E17,E17,E16,E21,G17,C6,C25,C25,D10,E21,H2,C20,C18,G17,E16,H2,H2,C27,M11,D2,D11,H2,E16,G17,G17,E21,B10,C26,E17,H2,H2,H2,H2,E17,D17,E17,C18,B10,C3,C18,C3,C3,B10,C20,D24,D1,D1,D1,D24,D11,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D3,D24
69,D1,D2,D24,D24,D24,D24,D24,D24,D1,D24,C12,C18,C18,C18,G17,G17,D22,D22,D22,C12,C12,C12,C12,C12,D4,D22,C18,C26,C18,E17,E21,G17,E21,E21,E21,E17,E17,E21,D22,D2,C3,C25,D22,G17,H2,E16,E21,G17,E17,H2,H2,E21,G17,E21,E21,E21,C18,C16,C18,B10,B10,B10,C25,D8,E17,D8,D11,E17,H2,H2,B10,B10,B10,C18,C3,C3,B10,C26,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,D3
70,D1,D2,D24,D24,D24,D24,D24,D1,D1,D24,C12,G17,G17,C12,D22,D22,D22,D22,C12,D22,D22,D22,D22,D24,D1,D1,C16,C26,M11,C18,E17,E17,G17,E21,E21,E21,E21,G17,D24,C18,D24,C6,D22,E21,H2,H2,H2,D17,D17,C27,H2,E21,C26,E21,B10,C20,C6,C12,B10,C26,C16,C26,C25,C25,C27,D17,E17,M11,C18,E17,H2,B10,C3,C26,C26,C18,C3,C3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D24,D24,D24,D24
71,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D24,D10,D10,C12,C16,C12,C12,C12,D4,D1,D1,D1,D1,D1,D2,D1,D24,C18,D11,C18,C18,H2,E21,G17,E21,E21,G17,D3,D22,D24,D24,D1,D3,E21,H2,C27,C27,H2,D17,C27,H2,C3,C25,C6,C9,D22,C16,B10,C18,C12,C12,C26,C20,C16,C25,C25,B10,B10,B10,C26,E21,B10,C3,C3,C3,C26,C26,C3,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D24,D24,D3
72,D24,D24,D24,D24,D11,D1,D24,D1,D1,D1,D1,D24,D3,D10,D10,D10,D22,D2,D2,D1,D2,D2,D2,D2,D1,D1,C12,C12,C18,D11,C18,C18,H2,E21,G17,E21,M11,D22,D10,D3,D24,D24,D3,G17,H2,C27,C27,H2,H2,H2,C3,C3,C20,C16,C16,C18,C26,B10,C18,C18,C12,C26,C16,C12,D4,C3,C25,B10,B10,B10,B10,B10,C26,C26,C26,C26,C3,C25,D2,D24,D24,D24,D24,D24,D24,D24,D24,D2,D2,D1,D1,D1,D1,D1,D24,D24
73,D24,D24,D24,D24,D24,D24,D1,D1,D2,D1,D1,D1,D1,D24,D1,D1,D1,D1,D1,D1,D2,D2,D2,D2,D1,D22,C12,D22,C12,C18,D11,C18,C18,H2,E21,G17,G17,D2,D22,D3,D3,D3,D3,E16,H2,C27,H2,H2,E17,C3,C3,D22,C12,C16,C26,C26,C26,C18,C18,C18,C18,C20,C12,C18,C12,D10,C3,C25,C26,B10,B10,C26,C26,C26,C26,C26,C20,C3,D2,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1
74,D24,D24,D24,D24,D24,D24,D24,D1,D1,D24,D11,D2,D1,D1,D1,D1,D2,D2,D2,D2,D2,D2,D2,D1,D2,C12,C12,D22,D22,C12,C18,M11,C18,G17,H2,G17,C12,D22,D1,C9,D11,D3,D3,C12,E21,H2,C27,G17,C3,C3,C18,D4,C26,C26,C26,C26,C18,C18,C18,C12,C20,C18,C12,C18,C18,C12,D10,C26,B10,C26,C3,C3,C26,C26,C26,C26,C26,C3,C6,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1
