行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
11,D2,D11,D11,D11,D17,D17,D2,D3,D22,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D24,D3,D3,D3,D3,D3,D22,D3,D3,E17,E17,D8,D8,D11,D8,D3,D22,D22,D3,D3,D22,D3,D3,D22,D22,D3,D3,D22,C27,C3,C6,C6,C26,C6,D1,C25,B10,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3
12,D2,D11,D11,D11,D17,D17,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D22,D22,D22,D24,D22,D22,D22,D22,D3,D3,D3,C12,D2,D3,D24,D3,D2,E17,D8,D8,D8,D8,E17,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D3,C18,C18,C6,C6,D2,C26,C6,D2,C2,C26,D3,D22,D11,D22,D4,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D22,D4,D4,D3,D24
13,D2,D11,D11,D11,D17,D17,D22,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D22,D24,D3,D3,C18,C16,E17,D8,D3,D3,E17,E17,E17,D8,D8,E17,D8,D3,D22,D22,D3,D3,D3,D3,D22,D3,D24,D3,C18,C26,D11,C6,C6,C6,C26,C6,D1,C25,C18,D3,D22,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D24,D24
14,C6,D2,D11,D11,D17,D17,D22,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D24,D3,D22,C18,C26,D3,D8,H2,D22,D2,E17,E17,E17,D8,D8,E17,D2,D3,D22,D3,D3,D22,D22,D3,D3,C9,D3,C12,B10,D11,D11,C6,C6,C26,C3,D2,D11,C25,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D3,D3
15,C6,D2,D11,D11,D17,C2,D22,D3,C9,D24,D24,D24,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,C16,C18,B10,C16,D3,E21,E17,D8,E17,E17,E17,E17,E17,E17,H2,D3,D3,D24,D3,C18,C26,C3,C3,C9,D24,D4,C26,C24,D11,C6,C6,C26,C26,C3,D2,C24,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
16,C6,C6,D11,D11,D17,C2,D2,D3,D24,D24,D24,D2,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,C18,B10,B10,D22,D3,E17,E17,D8,D8,E17,E17,E17,E17,H2,D11,D3,D22,D24,D4,C26,C3,C26,C26,C16,C16,D4,C26,D8,D11,C6,C6,C26,C3,C3,D2,C3,C25,C12,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
17,C6,C6,C6,D11,D17,D17,D17,D3,D24,D24,D3,D11,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D3,D24,D1,D3,C18,C18,B10,B10,D22,D3,E17,E17,E17,E17,E17,E17,E17,E17,E17,D3,D3,D24,D3,C18,C3,C3,D4,D3,D3,D4,D4,C3,D8,D2,C24,C26,C26,C3,C3,D2,C2,C2,C16,D3,D3,D3,D3,D3,D3,D2,D22,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
18,D2,C6,C6,D11,D17,D17,C2,D2,D3,D24,D3,D11,D2,D3,D24,D24,D24,D24,D24,C9,D24,D24,D22,D2,D24,C16,C18,C18,C26,B10,D3,D3,E17,E17,E17,E17,E17,E17,E17,E17,D8,D22,D3,D24,D4,C18,C3,D3,D3,D24,D22,D24,D4,C26,D11,D2,C26,C26,C26,C3,C3,D11,C2,C2,C16,D3,D3,D3,D3,D3,D1,D11,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
19,C6,D2,C6,C24,D17,D17,D17,D17,D3,D24,D3,D8,D17,D3,D24,D24,D24,D24,D24,D24,D24,D3,E21,E21,D3,C16,C18,C18,C18,B6,C16,D22,E17,E17,E17,E17,E17,E17,E17,E17,H2,D2,D3,D24,C12,C18,C20,D3,D3,D22,D3,D24,D4,C26,D17,D2,C26,C26,C26,C3,C3,C6,C3,C2,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
20,C24,C6,C6,C24,D17,D17,D17,D17,C24,D3,D3,D11,C27,D3,D24,D24,D24,D24,D24,D3,D3,D24,D22,E21,E21,D22,D22,G17,G17,E21,C12,D2,H2,E17,H19,H2,H19,E17,E17,H2,E17,D3,D24,D3,C12,C20,C16,D3,D24,D22,D2,D24,D4,C18,D17,D2,C26,C26,C26,C26,C3,C24,C3,C2,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
