行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
41,C9,C20,C3,C26,C3,C26,D22,D22,D1,D1,D1,D1,D1,D1,D2,C24,D2,D2,D11,H2,D2,D22,G17,G17,G17,C18,D24,D24,G17,H19,E21,D22,C12,C12,C12,C12,D10,C12,B10,C18,C18,C18,C26,C18,C12,C18,C18,C12,C18,B10,C18,B10,B10,B10,B10,B6,B6,B6,B6,B6,B6,B6,B6,B6,C18,H2,H2,G17,C18,B6,B6,B6,B10,B6,B6,B6,B6,C20,G17,E21,C9,C9,C9,D3,D24,G17,G17,D11,D11,D11,D11,D11,D11,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
42,C9,C20,C26,C26,C3,C26,C16,C9,D1,D1,D1,D1,D1,D2,C24,D11,D2,D11,D11,D22,D24,D24,D24,G17,G17,G17,G17,C18,H19,H19,D22,D24,C16,C18,C12,C12,C16,C12,B10,B6,B10,B10,B10,C12,C12,C18,C18,C18,C12,C18,B6,B10,B6,B6,B6,B6,B6,B6,B6,B6,B28,B6,B25,H4,B31,B31,C14,H11,C18,B28,B28,B28,B19,B19,B28,B28,B10,C18,G17,C18,C24,D8,D3,D4,D3,C16,G17,D11,D11,D11,D11,D17,D22,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3
43,C16,C20,C6,C6,C3,C20,C16,C9,D1,D1,D24,D11,D11,D2,D11,D22,D2,D11,D22,D24,D24,D24,D24,D24,G17,G17,G17,E21,H19,G17,D24,D1,D24,C16,C12,C12,C16,C12,C12,B6,B6,C26,C18,C18,C18,C18,C18,C12,C18,G17,C18,C18,C18,C18,B6,B6,B6,B6,B6,C18,H5,H4,E8,H2,H2,C2,C2,H19,G17,B25,B28,B28,B19,B19,B28,B28,B10,G17,G17,C20,H2,D8,D3,D4,D3,D22,G17,C24,C24,D17,D17,D22,D3,D3,D22,D2,D22,D22,D22,D3,D3,D3,D3,D3,D22,D22,D3,D4
44,C16,C20,C6,C6,C3,C20,C16,C20,D24,D1,D1,D2,C26,C24,D22,D24,D22,D22,D24,D24,D24,D24,D24,D24,D1,D22,G17,H19,H19,G17,C12,D22,D24,D1,D22,C12,C12,C12,C12,C26,B6,B6,B10,C18,C18,C18,C12,H5,H11,H11,E21,M8,C18,C18,B25,B25,C18,C18,H5,G17,F24,H2,H2,H19,C14,C3,C2,C14,C2,B10,C20,B10,B25,B6,B28,B28,B10,G17,E21,C26,C3,D3,D3,D4,D3,D4,G17,C24,C24,D11,C12,D3,D22,D2,H2,D8,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4
45,C16,C9,C6,C3,C3,C18,C16,C26,C16,D24,D1,C18,C26,D22,D24,D1,D24,D1,D1,D24,D24,D24,D24,D1,D24,C16,G17,G17,E21,G17,C12,C18,C12,D24,D1,D1,C12,C12,C12,C12,C12,C26,B10,C12,C18,C18,C12,H3,H3,M8,F20,F24,F24,F24,F20,F20,F20,F20,F20,H19,H2,E11,E11,C25,H5,H5,C26,C18,C12,C12,C20,C25,B25,B28,B28,B28,B10,B10,H19,C20,C6,C9,C9,C9,C9,C18,G17,D11,C24,C24,C16,D3,D22,D2,D2,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
46,C20,C16,C20,C3,C3,C18,C16,C26,C26,D4,D24,D1,D1,D24,D1,D2,D24,D1,D24,D24,D24,D24,D24,D24,C12,C12,G17,G17,H2,E21,D24,C16,C18,C12,D22,D1,D1,D24,D22,C12,C12,B10,C18,C18,C18,C18,C18,M8,E21,F20,F20,F20,F20,F20,F20,F20,F20,F22,H17,H2,F22,F22,B25,H4,C12,C12,C12,D10,D10,C12,C3,C2,C2,C2,B10,B28,B10,G17,H19,C18,C3,C24,C6,D2,C6,G17,G17,D11,C24,D17,D2,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
47,C16,C16,C9,C3,C3,C18,C16,C20,C3,C26,D4,D24,D1,D1,D1,D24,D1,D22,C20,D24,D24,D24,D24,C12,C16,C16,C18,G17,E21,G17,D4,D1,D22,C12,C12,C12,D22,D22,C12,C12,C3,B6,C18,C18,C18,C18,C18,F20,F22,F24,F20,F20,F20,F20,F24,E8,H17,H2,H8,H2,E11,G17,D10,D10,D10,D25,D25,D10,D10,C12,C20,D4,H5,C9,C3,B28,C25,B10,G17,G17,C20,C3,C6,C6,C18,G17,D2,C24,D11,D11,D3,D22,B10,D22,D3,D3,D3,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3
48,C16,C16,D22,C6,C26,C16,C16,C20,C26,C3,C26,D4,D24,D1,D24,D24,D24,D22,C24,D2,D24,D1,D22,C12,C16,C16,C18,G17,H19,E21,C18,C16,D24,C12,C12,C12,C12,C12,C12,C12,C26,B10,C18,C18,C18,C12,H4,H11,H3,H3,C25,H19,F20,F20,H8,H2,G18,H8,H8,H2,H11,D10,D10,D25,D10,D25,D25,H19,C12,D10,C16,C12,D22,C3,B28,B10,B10,B10,C18,E21,G17,C16,C20,C18,G17,G17,D11,D11,D11,C18,C26,B10,B10,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
49,C16,C16,D22,C6,C6,C16,C12,C16,C26,C26,C26,C26,D4,D3,D24,D1,D24,D22,C6,D11,D2,D24,C16,C16,C16,C16,C16,G17,G17,E21,C16,C16,C16,D10,C12,C12,C12,C12,C12,C12,C20,B10,C18,C18,C18,C18,C12,C12,C12,C12,H5,B10,C2,F20,F22,G18,G18,G18,H8,H19,E21,D10,D25,D25,A16,D10,D25,C27,D4,G17,D10,C12,C6,B19,B16,B10,B10,B10,B10,C12,G17,G17,G17,G17,C18,C20,C26,C26,C26,B10,B10,C26,C18,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
50,C16,C16,C16,C9,C6,C20,C12,C16,C20,C26,C26,C26,C26,C16,D3,D24,D1,D22,C26,C6,D11,C12,C16,C16,C16,C20,C20,C12,D8,E17,C12,C20,C16,C12,C12,C18,C12,C12,C12,D10,C12,C26,C18,C18,C18,C18,C19,C12,D10,D10,D10,G17,H5,C14,F22,H8,H8,G18,H8,H19,E8,D4,D25,G17,B16,B16,H3,D25,D3,F20,C12,C16,C18,B16,B6,B10,B10,B10,B6,C18,C12,C18,C12,C12,C18,C18,C26,C26,C26,C18,C18,C18,C18,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3
51,C16,C16,C16,D22,C6,C20,C12,C16,C9,C26,C26,C26,C3,C26,C16,D4,D24,D24,D2,C6,D11,D2,C16,C16,C16,C20,C20,C16,D8,H2,C18,C26,C16,C16,C12,C12,C18,C12,C12,D10,D10,C12,C18,C18,B25,C20,C18,C12,D22,D25,D25,D25,C12,G17,E11,E11,G18,G18,G18,H19,H17,D22,D24,H3,B16,B16,C6,C3,C6,F24,C12,F22,B25,B6,B19,B28,B10,B10,B6,C18,C18,B10,B10,C18,C18,C18,C18,C18,C18,G17,C18,C18,D22,D24,D22,D3,D22,D22,D22,D22,D3,D3,D3,D22,D22,D4,D3,D4
52,C16,C16,C16,C16,D2,C6,C16,C12,C16,C26,C26,C26,C26,C26,C26,C16,C16,D4,C16,D11,D2,D11,C16,C16,C16,C20,C20,C16,E21,H2,C26,C26,C20,C16,D22,D4,C12,C18,C12,C12,C12,D10,C12,C12,C20,C12,D10,H5,D3,D25,D10,D22,H2,D10,F20,H17,H8,G18,G18,H19,H2,D17,D17,C9,B28,B19,B16,B16,C2,G17,F20,F22,B25,B6,B10,B6,B6,B10,B6,C18,C18,B10,B10,B10,G17,G17,G17,G17,E21,G17,C18,C26,D22,D3,D3,D24,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
53,C16,C16,C16,C16,C16,C6,C16,C12,C12,D22,C26,C26,C26,C26,C3,C26,C16,C16,C16,C6,D2,D2,D11,C16,C20,C20,C26,C20,D2,H2,C26,C26,C26,C20,D3,D24,D3,C12,C12,C12,C12,C12,C18,C18,C12,D10,C9,M8,D25,D25,D25,B16,M8,D25,E21,H19,H8,G18,G18,H19,H8,H2,C27,B16,B16,A16,B16,B16,G17,G17,F20,M8,B25,B6,B28,B6,B6,B6,B6,B10,C12,B10,B10,B10,C18,E21,E21,E21,G17,C18,C18,C26,C26,D3,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
54,C16,C16,C16,C16,C12,C9,C9,C12,C12,C16,C20,C26,C26,C26,C3,C26,C16,C16,C16,C16,D2,D2,D11,D2,C18,C20,C26,C26,D22,H2,C24,C20,C26,C6,C9,D3,D24,D3,D4,C12,D10,C12,C18,C18,C18,C20,D10,G17,D22,D25,H4,B16,B16,D25,E17,H19,H8,G18,H8,H19,F22,F22,F24,E11,A16,E11,F20,E21,E8,H2,H8,H5,B19,B28,B6,B19,B6,B10,B10,B10,C12,C26,B10,B10,C18,G17,E21,G17,C18,C18,C12,C26,C26,D3,D24,D24,D24,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3
55,D4,C16,C16,C16,C16,C16,C9,C16,C12,C12,C16,C26,C26,C26,C3,C20,D4,C26,C26,C12,D2,D2,D2,D8,C18,C18,C26,C26,D22,E17,E17,C16,C26,C20,D1,D3,D24,D24,D3,D22,C16,C18,B10,B6,C18,C18,C16,D10,C24,C2,D25,C3,C3,B10,H19,E8,E8,G18,H8,E17,E8,F22,F22,E8,F20,M8,H11,E17,H3,H4,C18,C19,B19,B19,B19,C19,C26,B10,B10,C26,D10,C18,B10,C26,C26,C18,C26,C18,C18,C12,C18,C26,C26,D3,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
56,D22,D4,C12,C16,C16,C12,C16,C9,C12,C18,C12,C16,C20,C26,C3,C20,D4,C20,B10,C18,D22,D11,D2,D11,D8,D2,C18,C26,C16,D8,C27,C16,C20,C20,C9,D1,D3,D24,D22,C16,C18,B6,B6,B6,B19,C18,C18,D10,M8,C25,B6,C25,A16,B16,E8,F24,E8,H17,H8,H19,E8,H8,E8,H3,B25,B25,B6,B28,B28,B10,C25,B10,B10,B10,B10,B10,B10,B10,B10,C26,D10,C16,B10,C26,C26,C18,C16,C12,C12,C18,C18,C26,C24,D3,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
57,D1,D1,D4,C12,C16,C16,C12,C16,D22,C12,C12,C12,C27,C6,C26,C26,D4,D4,C20,B10,C12,D2,C24,D2,D8,H2,D11,C18,C18,D11,H2,C16,C26,C20,C20,D1,C9,D4,C16,C12,C18,B6,B10,B6,B6,B25,C12,C18,C12,E21,B16,B16,A16,H8,F24,F24,H2,H8,H8,H19,E8,H8,M8,B31,H2,B28,B25,B25,B25,B25,B10,B10,B10,B28,C19,B19,B6,B10,B10,C18,D10,C16,C3,C3,C3,C12,C12,C12,C18,C26,C18,C26,C6,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
58,D1,D1,D24,D4,C12,D4,C12,C12,C16,C12,C12,C12,D22,D22,C6,C6,C20,C16,D4,D22,D2,C16,D2,D2,D2,D8,H2,D8,C12,D22,H2,C20,C16,C16,D22,D22,C9,C16,C16,C12,B10,C18,B10,B6,C18,C18,C18,H5,G17,G17,F24,E8,E11,E8,H8,E8,F24,H2,H2,E17,H17,F24,H4,B28,B31,H3,B25,C25,B28,B10,B10,B10,B10,B19,B19,C18,B10,B10,C26,C12,D10,C20,C3,C3,C26,C12,C12,C18,C26,C26,C18,C26,D2,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
59,D1,D1,D24,D3,D10,D22,C12,C12,C16,C12,C12,C12,D4,D4,D22,C9,D22,C16,C16,C16,D11,D2,D2,D11,D2,D2,D8,H2,E17,C18,D8,D11,C16,C16,C12,C18,C18,C16,D4,C12,B10,C18,B10,C12,C12,C18,C18,C18,E21,F24,F24,F24,F22,F22,H8,F22,E17,E21,G18,H2,H2,E21,G17,B6,B10,B10,C2,B6,B6,B6,B10,B10,B10,B10,B10,B10,C18,B10,C26,C26,C26,C3,C26,C26,C18,C12,C12,C26,C26,C20,C18,C26,D22,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
60,D22,D22,D2,D8,H2,C27,D10,C12,C12,C12,C12,C12,C12,D4,D4,C12,C16,C16,C16,C12,C16,D11,D2,D2,D2,D2,D2,D11,C27,H2,D8,G17,C12,C18,C18,C18,C18,C12,C16,C12,B10,C18,C18,C12,C18,C18,C18,C18,H5,F20,F24,F24,F24,F22,H8,E8,G17,G17,E21,H2,H2,E21,G17,B6,B10,B10,C25,B10,B6,B10,B10,B10,C26,B10,B10,B10,C26,C26,C26,C26,C26,C26,C26,C26,C18,C12,C12,C26,C26,C16,C18,C26,D24,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D2,D2,D3,D3
61,D8,C27,H2,C27,H2,D22,D24,D22,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C16,C16,C12,D2,D11,D2,D2,D2,D2,D2,D2,D17,H2,H2,C18,C12,C12,C18,C18,C18,C12,C12,B10,C18,C12,C18,C18,C18,C18,C18,C12,E21,E21,E17,E17,E17,E17,H2,G17,E21,G17,E21,H2,E17,E21,B10,B6,B10,B10,B10,C25,B10,B10,B10,B10,B10,C18,C18,C18,C12,C12,C18,C18,C20,C26,C26,C18,C12,C12,C26,C16,D4,C18,C20,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D22,D3,D3,D3
62,E17,E21,E21,E17,D11,D3,D1,D1,D1,D24,D24,D24,D22,D22,C12,C12,C12,C12,C12,C12,C12,C12,D2,D2,D2,D2,D2,D11,D2,D22,D2,E17,H2,E17,C12,C12,C18,C12,C12,C12,C18,C18,C18,C18,C18,C18,C18,C18,C18,C12,E21,E17,H19,E17,E17,E17,E17,E21,E21,E17,H2,E17,E21,G17,B6,B10,B10,B10,C25,B10,B10,B10,C26,C18,C18,C26,C20,C18,C26,C26,C26,C26,C26,C18,C12,C12,C20,C18,D3,D4,C18,D22,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D3,D22,D3,D3,D3,D3
63,E21,G17,E21,C27,D4,D1,D1,D1,D1,D1,D1,D1,D1,D24,D4,C12,C12,D4,C12,C12,C12,C12,C12,D2,D11,D2,D2,D2,D2,D2,D2,D2,D8,H2,H2,C18,C12,C12,C18,C18,C18,C18,C18,C18,C12,D10,C18,C18,C18,C12,C18,E21,E21,H2,H2,E17,E17,E17,E17,C27,E17,C27,E17,E21,G17,C25,C25,B10,B10,B10,C18,C18,C12,C12,C12,C26,B10,B10,B10,C26,C26,C26,C20,C18,C12,C18,C18,D3,D3,C18,C18,D24,D24,D24,D2,D2,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3
64,E21,G17,E17,D11,D24,D1,D1,D1,D1,D1,D1,D1,C12,C12,C12,D4,C12,C16,C16,C12,C12,C12,C12,C12,C16,D2,D2,D2,D2,D2,D2,D2,D2,D11,E17,H2,E21,C12,C18,C12,D10,C18,C18,D4,D10,D10,C12,C18,C18,C12,C18,C18,C18,E21,E17,H2,H2,H2,H2,H2,H2,E17,E21,G17,C12,B10,H19,C25,B10,C25,C18,C16,C26,C18,C18,C16,C20,C26,C18,C20,C20,C20,C12,C12,C12,D22,D24,D3,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,D24,D1,D3,D3,D3
65,E21,E21,D8,D3,D1,D1,D1,D1,D1,D1,D24,D10,C12,C12,C12,C12,C12,C12,C16,C16,C16,C12,C12,C12,C12,D2,D2,D22,D2,D11,D2,D2,D2,D2,D2,D11,H2,C27,D10,D10,D3,C12,D3,D3,D10,D10,D22,C18,C12,C18,C18,C18,C18,C18,C12,C12,G17,G17,E21,G17,G17,G17,G17,C18,D10,C12,B6,B10,C25,C25,B10,B10,C18,C12,C18,C26,C12,C12,C20,C20,C20,C18,C12,C18,C12,D22,C16,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,D24,D24,D3,D22,D3
66,H19,E17,D11,D24,D1,D1,D1,D1,D1,D1,D10,C12,D4,D3,D22,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C18,D2,D2,D22,D2,D11,D11,D11,D11,D11,D2,D22,E17,H2,D10,D3,D24,D3,D3,D3,D10,D2,C12,C12,C18,C18,C18,C18,C18,C16,D4,C16,C12,C12,C12,C12,C16,C12,C12,G17,C12,C18,B6,B10,B10,B10,B10,C18,C26,C26,C18,C18,C26,B10,C26,B10,C18,C18,C18,C18,C12,C12,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D2,D2,D24,D24,D24,D3,D3,D22,D3,D3
67,E17,D8,D22,D1,D1,D1,D1,D1,D1,D4,C12,D4,D24,D24,D24,D24,D24,D22,C12,C12,C12,C12,C12,C12,C12,C12,C12,G17,E21,C18,D2,D22,D2,D11,D11,D11,D11,D2,C27,E21,D10,D1,D3,D3,D3,D3,C3,C12,C18,C18,C18,C18,C18,C18,D22,C20,C2,C3,C12,C20,C24,D1,C6,C20,C20,D22,D10,C18,B6,B10,B6,C18,D11,B10,C2,C25,B10,B10,B10,B10,C18,C18,C18,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3
68,D8,D2,D24,D1,D1,D1,D1,D1,D1,D4,C12,D4,D24,D24,D24,D24,D24,D1,D1,D22,C12,C12,C12,C16,C12,C12,C12,C12,C12,C12,G17,G17,C18,C12,C16,D22,D2,D11,D2,E21,D4,D1,D1,D3,D3,C2,B10,C12,C12,C18,C18,C18,C18,C12,C20,C20,C20,D22,G17,C26,C9,C3,C2,C27,C9,C12,E21,G17,C18,B6,B10,B10,H2,C27,B10,B6,C18,C18,B10,C18,C18,C26,C26,C18,C18,D22,D24,D24,D24,D24,D24,D24,D24,D3,D24,D24,D24,D24,D1,D24,D24,D24,D24,D24,D24,D24,D24,D24
69,D8,D22,D1,D1,D1,D1,D1,D1,D24,D24,D10,C12,D24,D24,D1,D1,D1,D1,D24,D1,D24,D22,C12,C12,C12,C12,C12,C12,D2,D8,E17,H2,H2,E17,G17,G17,D22,D22,D2,E21,D22,D3,D3,D3,C3,C25,C2,C12,C18,C18,C18,C18,C18,G17,C16,C20,D22,D24,E17,E21,C2,C2,C2,C26,G17,H19,H2,H19,E21,G17,B10,B6,E17,H2,C18,C18,E17,E17,C18,C18,B10,B10,C26,C18,C18,C18,D24,D24,D24,D24,D24,D24,D24,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24
70,D2,D24,D1,D1,D1,D1,D1,D24,D2,D11,D24,C12,C12,C12,D22,D24,D1,D1,D1,D24,D1,D1,D24,D4,C12,C12,D22,E21,D8,E21,E17,E17,E17,H2,H2,E21,G17,G17,D2,D22,D10,D10,D10,D3,D1,C25,C25,C12,G17,G17,G17,G17,G17,C6,C6,C6,G17,H19,E21,C26,C3,C26,G17,G17,H2,H19,H2,H2,H2,E17,D11,B6,B10,H2,B10,C18,H2,H2,C18,B10,B10,B10,C26,C18,C18,C18,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3
71,D22,D1,D1,D1,D24,D1,D1,D1,D1,D1,D1,D1,D1,D22,D22,D24,D1,D24,D24,D24,D24,D1,D24,D24,C12,D11,D11,E21,E21,E21,E17,E17,E17,E17,C27,H2,E21,H19,E21,D10,D10,D4,D10,D4,C3,D22,B10,C16,G17,E21,E21,C18,C6,C3,C2,C26,C12,C26,C3,C24,C2,E21,H19,H19,H2,H19,H2,H2,H19,G17,E21,D10,C18,H2,E17,C18,D8,E17,B10,B10,B10,B10,C18,C18,C18,C26,D24,D24,D1,D1,D24,D24,D24,D24,D24,D3,D3,D3,D3,D24,D24,D24,D24,D24,D24,D24,D24,D2
72,D1,D24,D1,D1,D24,D1,D1,D1,D24,D24,D24,D24,D24,D1,D1,D1,D24,D1,D2,D24,D24,D22,D22,D2,D11,D11,E21,E21,E21,E21,E17,E17,E17,E17,E17,H2,E17,G17,H19,E17,D10,D10,D4,D10,C25,D2,D24,C6,D4,G17,E21,G17,C12,C16,C24,E21,E21,C16,C25,C2,H2,C2,H2,H2,H19,E21,H19,H19,H19,H2,H2,E21,E17,E17,E17,D11,D8,D17,B10,E21,B10,B10,C18,C18,C26,C26,D1,D24,D1,D1,D1,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D24,D24,D24,D24,D24,D24
73,D1,D1,D1,D24,D1,D1,D1,D1,D1,D24,D24,D2,D1,D24,D1,D24,D24,D1,D24,D24,D22,C18,D2,E21,D2,E21,E21,E21,E21,E21,E21,E17,E17,E17,E17,H2,E21,E21,E17,H2,H2,G17,D10,D10,C20,H2,D3,C9,D10,G17,G17,G17,C12,G17,D2,D8,E17,D2,D22,C26,C3,C2,H2,H2,H19,G17,E21,E21,H2,H2,H19,H19,H2,D8,H2,E17,D8,E21,C18,H2,C3,B10,C18,C18,C3,B10,C20,D24,D1,D1,D1,D1,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D24,D24,D24,D24,D24
74,D1,D1,D1,D1,D24,D24,D24,D11,D1,D24,D24,D1,D1,D1,D24,D1,D24,C12,C12,C18,G17,D2,D2,D2,G17,G17,E21,G17,C26,E17,E21,G17,E21,E17,E17,E17,G17,H19,E17,E17,H19,H19,G17,D10,D22,H2,C26,D3,D4,D10,C18,C18,C12,D11,D11,E21,E21,E17,H2,D17,C20,C2,H2,H2,E21,E21,E17,E21,E17,H2,E17,H2,H2,H2,H2,C27,C27,D17,D17,H2,C26,B10,C18,C18,C3,C3,C26,D24,D1,D1,D1,D1,D1,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3,D24,D24,D24
75,D1,D1,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D24,D22,C12,D10,C18,D2,D2,D2,D2,G17,G17,G17,E21,C12,C16,C24,E17,E21,C18,E21,E17,E21,G17,H19,E17,E17,H19,E17,E21,G17,D22,C25,C25,D3,D22,D10,C16,C18,E21,E21,E21,H2,H2,D11,D8,H2,H2,H2,H2,H2,C27,G17,E21,D8,H2,H2,H2,H2,H2,H2,E17,D8,C27,E17,D11,C26,B10,C26,C18,C18,C3,C3,C26,D24,D1,D1,D1,D1,D24,D1,D17,D24,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D24,D24
76,D1,D1,D24,D24,D24,D24,D24,D1,D24,D24,D24,D1,D24,D24,C12,C12,D10,D10,G17,D2,D22,D22,C18,D2,D2,G17,D2,D4,C12,C26,C26,E17,E21,D22,E21,G17,E21,E17,E17,E17,E17,E17,E21,G17,D2,C25,C2,D3,C12,H19,C20,D2,D2,C18,E21,H2,H2,H2,D11,D2,D11,C27,H2,H2,G17,G17,E21,C18,B10,E17,H2,H2,H2,H2,H2,D8,D11,E17,D17,C18,B10,C26,C18,C26,C3,C3,C3,D22,D24,D1,D1,D1,D24,D11,H2,D24,D24,D24,D1,D24,D24,D24,D3,D3,D3,D3,D24,D24
77,D1,D24,D24,D24,D24,D24,D1,D1,D24,D1,D24,C12,C12,C12,C12,C12,G17,G17,C18,D22,D22,D22,D22,D22,D22,D22,C12,C12,D10,C18,D2,C18,E17,E17,G17,G17,E21,E21,E21,E21,H19,E21,E21,D22,C6,C2,C25,C9,C12,H19,H2,C18,G17,G17,C27,H2,H2,H2,E21,D8,D2,D11,H19,G17,C18,C12,B10,B6,B6,B10,C27,E17,H2,C27,E17,H2,H2,C27,E17,C18,B10,B10,C18,C26,C3,C3,B10,D2,D24,D24,D1,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D3
78,D24,D11,D1,D24,D24,D24,D24,D24,D24,D1,D24,C12,G17,G17,G17,C18,C12,C12,D22,D22,D22,C12,C12,C12,C12,C12,D4,D22,D1,C12,C18,D2,C18,E17,E17,G17,E21,E21,E21,E21,E21,E21,G17,D24,C18,D2,C3,D1,G17,H19,H2,H2,H19,E21,D17,H2,H2,H2,G17,E21,E21,E21,G17,C26,C20,C18,B6,B6,B10,B6,C2,C24,E17,D17,D11,D11,D8,E17,H2,B10,B10,C26,C18,C3,C26,C3,B10,C20,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24
79,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D24,D3,G17,G17,C12,C12,D22,D22,D22,D22,C12,D22,D22,D22,D1,D24,D1,D1,D1,D24,C18,C24,D2,C18,E17,E17,G17,G17,E21,E21,E21,E21,D24,D24,C18,D24,D1,D24,G17,H19,H2,C27,H2,C27,D17,C27,H2,E17,C26,C3,C3,C26,C20,C9,C12,B10,C18,C12,C12,C26,D17,C25,C25,B10,B10,E17,C26,C18,E17,C27,B10,C3,C3,C3,C26,C26,C3,C26,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D24,D24,D1,D3
80,D24,D24,D24,D24,D24,D1,D24,D1,D1,D1,D1,D24,D3,C12,D10,C12,C12,D10,C12,C12,D10,D1,D1,D1,D1,D2,D2,D2,D1,D1,C12,C18,C24,C18,C18,C27,E17,G17,E21,E21,E21,C12,D3,D22,D24,D24,D24,D24,G17,H19,H2,C27,C27,H2,C27,C27,H2,C2,C2,C3,C20,C9,D22,C16,B10,C18,C12,C18,C12,C3,C16,D4,C3,C2,B10,B10,B10,B10,G17,E21,B10,C26,C3,C3,C3,C26,C3,C3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D24,D1,D1,D24,D24,D24,D24,D24,D24
81,D24,D24,D24,D24,D1,D11,D24,D1,D1,D1,D1,D24,D24,D24,D4,C12,D10,D10,D22,D1,D2,D1,D2,D2,D2,D2,D2,D2,D1,D22,D22,C12,C26,C26,C18,C18,H2,E17,G17,G17,G17,D22,C12,D4,D3,D24,D24,D24,G17,C27,H2,C27,C27,C27,H2,H2,C2,C2,C24,C16,C16,C16,C18,B10,B10,C18,C18,C18,C16,C3,C12,C12,D4,C26,C25,B10,B10,B10,B10,C26,B10,C26,C26,C26,C26,C26,C3,C2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D2,D11,D1,D1,D1,D1,D1,D1,D24,D24
82,D24,D24,D24,D24,D24,D24,D24,D1,D24,D2,D1,D1,D1,D1,D1,D22,D1,D1,D1,D1,D1,D1,D1,D1,D2,D2,D2,D1,D22,C12,D22,D4,C12,C24,C26,C18,C18,H2,E17,G17,G17,D22,D2,D3,D3,D3,D3,D3,E21,H2,C27,C27,H2,H2,E17,C3,C3,C6,C16,C16,C20,C26,C26,C26,C26,C18,C18,C18,C20,C20,C12,C18,C18,C12,C26,C25,B10,C18,B10,B10,C26,C26,C26,C26,C26,C18,C26,C3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D24,D1,D1,D1,D1
