行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
29,C9,C26,C3,C3,C9,D24,D1,D1,D1,D1,D1,D11,D2,D8,D8,C18,G17,D2,D24,D24,D22,E16,G17,D10,D10,D22,D8,C12,C12,C12,C12,C12,C12,C18,C18,C18,C18,C18,C18,C18,C18,B6,B6,B6,B6,B6,B6,C18,G17,B6,B6,B6,B6,B6,B6,C26,C20,G17,C18,D22,C12,G17,E21,D17,D11,D11,D11,D2,D3,D3,D3,D3,D3,D22,D3,D3,D3,D3
30,C9,C26,C3,C3,C16,D22,D1,D1,D1,D1,D2,D11,D2,E17,D11,D24,G17,G17,G17,D24,G17,E16,D24,C12,C18,C12,D10,C26,B6,C18,C26,C18,C18,C18,C12,C18,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,G17,H2,E16,C18,B6,B6,B6,B6,B6,B6,G17,G17,D1,C9,D3,C12,G17,D11,D11,D11,D11,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
31,C9,C20,C3,C26,C18,C9,D1,D1,D1,D2,D11,D2,D11,D2,D24,D24,D24,C18,G17,G17,E16,E21,D24,D24,C12,C12,C16,C16,B6,B6,C26,C12,C18,C18,C12,C18,C18,C18,B6,B6,B6,B6,B6,B7,G17,E17,H2,C27,E16,G17,B28,B28,B10,B28,B28,B6,G17,C3,H2,D3,D4,D4,G17,D11,D17,D17,D22,D3,D22,D22,D22,D3,D3,D3,D3,D22,D3,D4
32,C16,C20,C3,C26,C16,C20,D24,D1,D2,C26,D22,D24,D22,D24,D24,D24,D24,D1,C12,G17,E16,C18,C16,D24,D1,C12,C12,D10,C26,B6,B6,C18,C18,C12,G17,E17,E21,M8,C18,C18,C18,C18,G17,F20,H2,H2,H2,C3,C27,B27,C26,C22,B7,B28,B28,B6,E21,C3,D2,D3,D3,D4,G17,D11,D11,C16,D3,D2,C27,D2,D3,D3,D3,D3,D3,D3,D4,D4
33,C16,C9,C3,C26,C16,C26,C9,D24,D2,D24,D1,D1,D24,D24,D24,D24,D1,D3,C12,G17,E16,G17,C16,C18,D24,D1,D24,D4,C12,C18,B6,C12,C18,C18,M8,M8,F20,F22,F22,F20,F20,F20,H8,H2,E1,B27,M3,C18,M3,C12,C16,C25,B6,B28,B28,B6,E16,C26,C3,C20,C9,C18,G17,D11,C3,D22,D3,D22,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3
34,C16,D22,C3,C26,C12,C26,C26,D4,D24,D1,D1,D24,D22,D22,D24,D24,D22,C12,C16,G17,E16,G17,D24,D22,C12,C12,D24,D22,C12,C25,C18,C18,C18,C18,F20,E1,F20,F20,F20,F20,E8,H2,H2,E16,F20,C12,D10,D10,D10,C12,C18,C26,D2,C3,B28,C25,G17,G17,C3,C3,C9,G17,E21,D11,D11,D3,C26,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
35,C16,C16,C20,C26,C12,C20,C3,C26,D4,D24,D24,D24,D22,C3,D2,D24,C16,C16,C16,C18,E21,G17,C16,D3,C12,C12,C12,C12,C12,C3,C18,C18,C18,C18,H23,H23,M1,E1,F20,H2,H2,E16,H8,H12,C12,D10,D10,D3,D24,G17,C12,D10,C20,B28,B10,C25,C26,G17,G17,C18,G17,G17,D11,D11,C26,C26,B6,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
36,C16,C16,D2,C20,C12,C16,C26,C3,C26,C16,D3,D24,D24,C26,D11,C16,C16,C16,C20,C18,E21,E21,C16,C16,C12,C12,C12,D4,D10,C20,C18,C18,C18,C18,C12,C12,C18,M3,H12,H8,E16,H8,E16,H8,D22,D10,H23,B27,D3,D1,G17,D4,B6,B28,B10,B6,B6,C18,G17,G17,C18,C18,C26,C26,C26,C18,C18,D3,D24,D3,D3,D3,D3,D3,D3,D22,D3,D3
37,C16,C16,C9,C20,C16,C16,C20,C26,C26,C26,C16,D3,D24,D2,D11,D2,C16,C16,C20,C16,D8,C27,C18,C20,C16,C12,C18,C12,C12,D10,C18,C18,B7,M3,C12,D4,D10,D10,G17,H8,H8,E16,H8,H2,D8,D3,B27,B27,C3,C3,G17,M8,B6,B10,B28,B6,B6,C18,C18,C26,C18,C18,C18,C18,G17,C18,C16,D3,D22,D22,D22,D22,D3,D3,D3,D22,D3,D4
38,C16,C16,C16,D2,C9,C12,D22,C26,C26,C26,C3,C16,D4,D22,D2,D11,C16,C16,C20,C20,D11,H2,C20,C26,D22,D3,C12,C18,C12,D10,C12,C18,C16,C12,M3,D3,D10,H12,D24,F22,E16,E16,E16,E16,H2,C2,B28,B28,B28,M8,F20,H23,B7,C25,B6,B6,B6,C18,C26,B6,C26,G17,E21,E21,G17,C18,C20,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D4
39,C16,C16,C12,C16,C9,C12,C12,C20,C26,C26,C3,C20,C16,C16,D2,D2,D11,C16,C20,C20,D2,H2,C26,C26,C9,D24,D3,D3,C12,D10,C18,C18,C18,C16,G17,D3,M3,B28,D3,H8,E16,E16,H8,E8,F22,F22,B27,E1,F20,F22,F22,C18,B10,B10,B10,B6,B6,C18,C12,C25,C26,G17,E21,G17,C18,C12,C3,D24,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3
40,D4,C16,C16,C12,D22,C16,C12,C12,C20,C26,C3,C16,C26,C26,D22,D11,D11,D11,C18,C26,C16,H2,C26,C20,D2,D24,D24,D3,D22,C12,B6,B6,C18,C18,C12,C2,C3,C25,B27,F22,F22,E16,H8,E8,F22,F22,M8,M3,M1,M1,C22,B10,B7,B7,B7,C26,B6,C18,D10,C3,C26,C26,C26,C18,C12,C18,C3,D22,D3,D24,D3,D3,D3,D3,D3,D3,D3,D3
41,D1,D4,C12,C16,C16,D22,C12,C12,D2,C3,C26,D22,D4,B6,C18,D2,D2,D8,D8,C18,C12,E17,D11,C20,C20,D1,D3,D22,C12,C18,B6,B6,B10,C18,C18,G17,B28,B27,H12,F20,H8,H2,H8,E16,E8,M1,B28,B28,C18,B7,B10,C25,B28,B10,B10,B6,B6,C18,D10,C3,C3,C18,C12,D10,C18,C18,C26,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3,D3
42,D1,D1,D4,D10,D4,C16,C16,C12,G17,D22,D2,C20,D4,D4,D22,C16,D2,D2,E17,C27,C12,D11,D17,C16,D22,D22,C16,C16,C12,B6,B6,B6,C18,C18,C18,F20,F20,E8,E8,E8,E8,H2,H2,H2,E21,B10,H12,M8,B10,B28,B10,B10,B10,B10,M3,B6,B6,C12,C16,C3,C3,C18,C12,C26,C26,C18,C20,D24,D24,D24,D24,D3,D3,D3,D3,D3,D3,D3
43,D24,D24,D24,D11,C12,C12,C12,C12,C12,D4,C16,D22,C16,C12,D22,D11,D2,D2,D2,D8,H2,D17,D11,C12,C18,C18,C18,C16,C12,B6,C18,C12,C18,C18,C18,F20,F22,F22,F22,E16,E21,G17,H8,H2,E21,B6,B6,C25,C25,B6,B6,B6,C26,B6,B6,C18,C26,C26,C26,C26,C26,C18,C12,C3,C20,C18,C20,D24,D24,D24,D24,D3,D3,D3,D3,D22,D22,D3
44,D11,D8,H2,H2,D3,D4,C12,C12,C12,C12,C12,C12,C16,C16,C12,D2,D2,D2,D2,D2,D11,H2,C27,C18,C12,C18,C18,C16,C12,C18,C12,C18,C18,C18,C12,G17,E21,E17,E17,H2,E21,G17,E21,H2,E21,G17,B6,B6,C25,C25,B6,B6,B6,C26,B6,C18,C18,C18,C20,C26,C26,C12,C16,C26,C16,C18,D22,D24,D24,D24,D24,D3,D3,D3,D3,D22,D22,D3
45,E17,E21,E17,D22,D24,D1,D24,D24,D24,D24,C12,C12,C12,C12,C12,C12,D2,D2,D2,D2,D2,D22,E17,H2,D17,C12,C12,C12,C18,C18,C18,C18,C18,C18,C18,C12,E21,E16,E16,E16,E16,E21,E21,C27,E17,E21,B6,C25,B6,C25,C26,C26,C18,C12,C26,C26,C26,C26,C26,C26,C18,C12,C18,D22,D4,C18,D24,D24,D1,D24,D24,D24,D3,D3,D22,D3,D3,D3
46,E21,E21,D11,D24,D1,D1,D1,D1,D1,D22,D10,C12,C16,C12,C12,C12,C12,D2,D2,D2,D2,D2,D22,D11,H2,H2,C12,C12,C18,C18,C18,C12,D10,C12,C18,C12,C12,G17,E21,H2,H2,H2,H2,H2,H2,E21,G17,C25,C25,C25,C26,C12,C16,C12,C20,C3,C26,C26,C20,C16,C12,C12,D24,D3,C18,D22,D24,D24,D1,D24,D24,D24,D24,D24,D24,D24,D3,D3
47,E21,E17,D22,D24,D1,D1,D1,D24,C12,C12,C12,C12,C12,C16,C16,C12,C12,C12,D2,D2,D2,D2,D2,D2,D2,D8,H2,C18,D10,D4,C16,D3,D10,C16,C18,C12,C18,C18,C18,C12,G17,E21,E21,G17,G17,G17,D10,C18,C25,C25,C25,C3,C18,C12,C18,C12,C16,C20,C18,C12,C12,D4,D4,C18,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,D3
48,E16,D11,D24,D1,D1,D1,D1,D10,D10,D24,D24,D22,C12,C12,C12,C12,C18,C12,C12,E21,D11,D2,D2,D11,D11,D11,D11,H2,D4,D3,D24,D3,D3,C20,C12,C18,C18,C18,C18,C16,C9,C18,C12,C16,D22,C16,G17,D10,C18,B6,B6,B6,C18,C3,C26,C26,C25,B6,C18,C18,C18,C16,D22,D24,D24,D24,D24,D24,D24,D24,D24,D2,D24,D24,D24,D3,D22,D3
