行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
69,D1,D1,D1,D24,D11,C26,D3,D10,D11,D8,D11,D11,D10,G17,G17,D10,C12,C16,D2,D11,D11,D2,D11,D11,D2,D1,C16,D22,C12,D2,D1,D22,D17,D24,D10,D4,C12,D22,D24,C16,D22,D4,D4,D4,D4,D1,D11,D24,D4,D4,D4,C16,C16,C12,C16,C16,C12,C16,C3,C26,C3,C3,D1,D1,D1,D11,D11,D1,D1,D1,D2,D11,C3,C3,C2,C2,C2,H2
70,D1,D24,D1,D1,D1,D11,D3,D3,D3,D11,D11,D11,D1,D22,D22,D22,D2,D11,D11,D11,D11,D1,H2,D17,D1,D11,D22,C16,G17,G17,E21,G17,D22,C2,D22,D10,D10,D11,D4,C12,D1,D1,D1,D1,D11,D17,D11,E17,D1,D10,D4,D4,C12,C12,C12,C12,C16,D3,D2,C3,C3,D1,D1,D11,D11,D17,D17,D17,D17,C2,C2,C2,C2,H2,H2,H2,H2,H2
71,D1,D11,D1,D1,D1,D11,D3,D3,D3,D4,D8,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D2,D11,D22,C18,C18,G17,G17,C18,C12,C27,C27,D3,D24,D11,C12,D4,D17,E17,D17,D11,D11,D11,D11,D11,D8,D2,D4,D4,D3,C12,C12,C12,D4,E17,D1,C20,D1,D24,D1,D1,D1,D1,D1,D1,D1,D1,C3,D11,C3,C3,C3,C3,C2,H2
72,D11,D11,D1,D1,D1,D11,D3,D3,D24,D22,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D2,E21,G17,D2,D1,D2,D11,D17,D17,C27,D11,D3,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D8,C9,D10,D1,D11,D24,D24,D24,D8,C9,D2,D1,D1,D1,D1,D1,D1,D1,D11,D11,C3,E17,D17,D17,D11,E17,D11,D1,C25
73,D1,D1,D1,D1,D8,D11,D3,D3,D3,D11,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D2,D22,E21,C12,D11,D17,D11,D11,D11,D11,D11,D11,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D8,D22,D10,D11,D17,D11,D8,D3,C16,D1,D1,D1,D1,D1,D1,D11,D11,D11,D17,D11,D17,C27,D17,C2,C27,D1,D1,C3
74,D1,D1,D1,D1,D11,D3,D2,D3,D24,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D10,E21,D2,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,D22,D4,C9,D1,D2,D4,C9,D1,D1,D1,D1,D1,D11,D11,D11,D17,C3,D2,C3,D1,D11,D1,D24,D24,D1,D1
75,D8,D11,D11,D11,D11,D2,C20,D3,C27,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D10,E21,E17,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,D11,D11,D11,D11,D11,D11,D1,D1,D11,D1,D22,D22,D3,D1,D11,D11,D11,D17,D17,D17,D17,D11,D17,D17,C3,C2,D11,D17,C3,D2,D2,C3,D1,D24
76,D8,D11,D17,D11,D11,D11,C16,D8,E17,D11,D2,D2,D2,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D22,D10,E21,E17,D2,D1,D1,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,D11,D1,D2,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,D11,D17,D11,D17,C3,C3,D11,D11,D11,D1,D1,D11,D1,D24,D3
77,D11,D11,C27,D11,D1,D2,H2,D8,D11,D17,D8,D8,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D4,D3,D3,E21,E21,D11,D11,D1,D11,D11,D17,D11,D11,D11,D11,D17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D17,C3,C3,C3,C3,D11,C3,D1,D24,D24,D1,D1,D24,D3,D3
78,D11,D2,D11,D2,D11,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,E21,D11,D2,D2,D2,D2,D2,D2,D2,D2,D2,D22,C12,D2,D1,D10,C12,G17,G17,C12,G17,G17,D2,D2,D11,E17,D11,D2,D11,D11,D2,D2,D11,D11,D2,D2,D2,D2,D2,D2,D11,D2,D2,D2,D2,D2,D2,D11,C3,C3,C26,C26,D2,D2,C9,D3,D3,C9,D24,D3,D3,D4,D22
