色号体系,图纸短色号,官方完整色号,RGB,HEX,数量
MARD 221 / Artkal M-2.6mm,A1,MA1,"255,246,212",#FFF6D4,7
MARD 221 / Artkal M-2.6mm,B7,MB7,"0,150,150",#009696,7
MARD 221 / Artkal M-2.6mm,B10,MB10,"131,207,195",#83CFC3,425
MARD 221 / Artkal M-2.6mm,B22,MB22,"12,92,91",#0C5C5B,14
MARD 221 / Artkal M-2.6mm,B25,MB25,"83,135,113",#538771,20
MARD 221 / Artkal M-2.6mm,B28,MB28,"159,244,194",#9FF4C2,40
MARD 221 / Artkal M-2.6mm,B31,MB31,"191,225,194",#BFE1C2,5
MARD 221 / Artkal M-2.6mm,C3,MC3,"115,192,223",#73C0DF,214
MARD 221 / Artkal M-2.6mm,C6,MC6,"88,160,217",#58A0D9,185
MARD 221 / Artkal M-2.6mm,C9,MC9,"8,111,185",#086FB9,77
MARD 221 / Artkal M-2.6mm,C12,MC12,"28,55,90",#1C375A,468
MARD 221 / Artkal M-2.6mm,C16,MC16,"0,76,125",#004C7D,287
MARD 221 / Artkal M-2.6mm,C18,MC18,"54,81,92",#36515C,519
MARD 221 / Artkal M-2.6mm,C20,MC20,"0,132,183",#0084B7,151
MARD 221 / Artkal M-2.6mm,C25,MC25,"179,236,224",#B3ECE0,115
MARD 221 / Artkal M-2.6mm,C26,MC26,"62,158,191",#3E9EBF,331
MARD 221 / Artkal M-2.6mm,C27,MC27,"233,240,243",#E9F0F3,86
MARD 221 / Artkal M-2.6mm,D1,MD1,"114,146,226",#7292E2,619
MARD 221 / Artkal M-2.6mm,D2,MD2,"110,140,204",#6E8CCC,328
MARD 221 / Artkal M-2.6mm,D3,MD3,"19,65,154",#13419A,1129
MARD 221 / Artkal M-2.6mm,D4,MD4,"30,49,117",#1E3175,469
MARD 221 / Artkal M-2.6mm,D8,MD8,"215,205,241",#D7CDF1,101
MARD 221 / Artkal M-2.6mm,D10,MD10,"37,27,88",#251B58,121
MARD 221 / Artkal M-2.6mm,D11,MD11,"162,187,231",#A2BBE7,660
MARD 221 / Artkal M-2.6mm,D17,MD17,"174,206,240",#AECEF0,219
MARD 221 / Artkal M-2.6mm,D22,MD22,"75,94,158",#4B5E9E,689
MARD 221 / Artkal M-2.6mm,D24,MD24,"119,118,209",#7776D1,765
MARD 221 / Artkal M-2.6mm,E8,ME8,"255,225,230",#FFE1E6,14
MARD 221 / Artkal M-2.6mm,E11,ME11,"255,232,218",#FFE8DA,8
MARD 221 / Artkal M-2.6mm,E16,ME16,"249,242,235",#F9F2EB,122
MARD 221 / Artkal M-2.6mm,E17,ME17,"231,220,230",#E7DCE6,154
MARD 221 / Artkal M-2.6mm,E21,ME21,"189,156,163",#BD9CA3,154
MARD 221 / Artkal M-2.6mm,F20,MF20,"216,168,158",#D8A89E,26
MARD 221 / Artkal M-2.6mm,F22,MF22,"255,212,212",#FFD4D4,28
MARD 221 / Artkal M-2.6mm,G17,MG17,"120,101,98",#786562,209
MARD 221 / Artkal M-2.6mm,H2,MH2,"255,255,255",#FFFFFF,232
MARD 221 / Artkal M-2.6mm,H3,MH3,"155,155,155",#9B9B9B,4
MARD 221 / Artkal M-2.6mm,M1,MM1,"174,187,168",#AEBBA8,8
MARD 221 / Artkal M-2.6mm,M3,MM3,"106,136,144",#6A8890,6
MARD 221 / Artkal M-2.6mm,M8,MM8,"150,131,129",#968381,10
MARD 221 / Artkal M-2.6mm,M11,MM11,"176,150,185",#B096B9,190
