色号体系,图纸短色号,官方完整色号,RGB,HEX,数量
MARD 221 / Artkal M-2.6mm,A16,MA16,"249,251,190",#F9FBBE,5
MARD 221 / Artkal M-2.6mm,B6,MB6,"73,209,174",#49D1AE,251
MARD 221 / Artkal M-2.6mm,B10,MB10,"131,207,195",#83CFC3,302
MARD 221 / Artkal M-2.6mm,B16,MB16,"208,252,173",#D0FCAD,18
MARD 221 / Artkal M-2.6mm,B19,MB19,"73,188,169",#49BCA9,16
MARD 221 / Artkal M-2.6mm,B25,MB25,"83,135,113",#538771,19
MARD 221 / Artkal M-2.6mm,B28,MB28,"159,244,194",#9FF4C2,28
MARD 221 / Artkal M-2.6mm,B31,MB31,"191,225,194",#BFE1C2,4
MARD 221 / Artkal M-2.6mm,C2,MC2,"187,241,244",#BBF1F4,124
MARD 221 / Artkal M-2.6mm,C3,MC3,"115,192,223",#73C0DF,213
MARD 221 / Artkal M-2.6mm,C6,MC6,"88,160,217",#58A0D9,208
MARD 221 / Artkal M-2.6mm,C9,MC9,"8,111,185",#086FB9,84
MARD 221 / Artkal M-2.6mm,C12,MC12,"28,55,90",#1C375A,599
MARD 221 / Artkal M-2.6mm,C14,MC14,"235,245,244",#EBF5F4,4
MARD 221 / Artkal M-2.6mm,C16,MC16,"0,76,125",#004C7D,372
MARD 221 / Artkal M-2.6mm,C18,MC18,"54,81,92",#36515C,659
MARD 221 / Artkal M-2.6mm,C19,MC19,"15,144,157",#0F909D,4
MARD 221 / Artkal M-2.6mm,C20,MC20,"0,132,183",#0084B7,176
MARD 221 / Artkal M-2.6mm,C24,MC24,"136,189,226",#88BDE2,119
MARD 221 / Artkal M-2.6mm,C25,MC25,"179,236,224",#B3ECE0,59
MARD 221 / Artkal M-2.6mm,C26,MC26,"62,158,191",#3E9EBF,447
MARD 221 / Artkal M-2.6mm,C27,MC27,"233,240,243",#E9F0F3,100
MARD 221 / Artkal M-2.6mm,D1,MD1,"114,146,226",#7292E2,796
MARD 221 / Artkal M-2.6mm,D2,MD2,"110,140,204",#6E8CCC,494
MARD 221 / Artkal M-2.6mm,D3,MD3,"19,65,154",#13419A,1433
MARD 221 / Artkal M-2.6mm,D4,MD4,"30,49,117",#1E3175,582
MARD 221 / Artkal M-2.6mm,D8,MD8,"215,205,241",#D7CDF1,137
MARD 221 / Artkal M-2.6mm,D10,MD10,"37,27,88",#251B58,150
MARD 221 / Artkal M-2.6mm,D11,MD11,"162,187,231",#A2BBE7,847
MARD 221 / Artkal M-2.6mm,D17,MD17,"174,206,240",#AECEF0,239
MARD 221 / Artkal M-2.6mm,D22,MD22,"75,94,158",#4B5E9E,852
MARD 221 / Artkal M-2.6mm,D24,MD24,"119,118,209",#7776D1,981
MARD 221 / Artkal M-2.6mm,D25,MD25,"56,55,168",#3837A8,21
MARD 221 / Artkal M-2.6mm,E8,ME8,"255,225,230",#FFE1E6,17
MARD 221 / Artkal M-2.6mm,E11,ME11,"255,232,218",#FFE8DA,8
MARD 221 / Artkal M-2.6mm,E17,ME17,"231,220,230",#E7DCE6,228
MARD 221 / Artkal M-2.6mm,E21,ME21,"189,156,163",#BD9CA3,240
MARD 221 / Artkal M-2.6mm,F20,MF20,"216,168,158",#D8A89E,29
MARD 221 / Artkal M-2.6mm,F22,MF22,"255,212,212",#FFD4D4,16
MARD 221 / Artkal M-2.6mm,F24,MF24,"247,193,197",#F7C1C5,20
MARD 221 / Artkal M-2.6mm,G17,MG17,"120,101,98",#786562,284
MARD 221 / Artkal M-2.6mm,G18,MG18,"254,245,235",#FEF5EB,15
MARD 221 / Artkal M-2.6mm,H2,MH2,"255,255,255",#FFFFFF,292
MARD 221 / Artkal M-2.6mm,H3,MH3,"155,155,155",#9B9B9B,9
MARD 221 / Artkal M-2.6mm,H4,MH4,"109,109,109",#6D6D6D,7
MARD 221 / Artkal M-2.6mm,H5,MH5,"77,77,77",#4D4D4D,12
MARD 221 / Artkal M-2.6mm,H8,MH8,"255,240,241",#FFF0F1,24
MARD 221 / Artkal M-2.6mm,H11,MH11,"188,184,181",#BCB8B5,6
MARD 221 / Artkal M-2.6mm,H17,MH17,"250,251,245",#FAFBF5,6
MARD 221 / Artkal M-2.6mm,H19,MH19,"251,242,228",#FBF2E4,99
MARD 221 / Artkal M-2.6mm,M8,MM8,"150,131,129",#968381,9
