row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H4,C6,D17,H10,H10,H10,H10,H10,C27,H2,H2,H2,H10,H10,C27,H2,H14,H2,H2,H10,H10,H2,H10,H10,C27,H2,H10,H10,H2,H10,H10,H2,H2,H11,H2,H2,H2,H2,C27,H10,H10,H14,H11,H10,H10,H10,H3,H7,H3,H2,H2,H2,H2,H2,H2,H3,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,C7,C24,H10,H10,H10,H10,H10,H10,H2,H2,H10,H10,H10,H10,H2,C27,H2,H10,H10,C23,H2,H2,H10,H2,C27,H10,H10,H2,C27,H10,H2,C27,H10,H14,H11,H11,H11,H11,H11,H11,C24,C28,H10,H10,D23,H11,H7,H5,C27,H2,H2,H2,H2,H2,H11,H4,H7,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,C24,D23,H10,H10,H10,H10,H10,H2,H2,H10,H10,H10,H10,H2,H2,H2,C23,H10,H10,H10,H2,H2,H2,H10,H10,H10,C27,H2,C27,H2,H10,H10,H10,H10,H10,H10,H10,H10,H10,C7,D17,H10,D23,H11,H11,H5,H7,H3,C27,H2,H2,H2,C27,H10,H6,H7,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H6,D23,H10,H10,H10,H10,D23,H2,H10,H10,H10,H10,H10,C27,H2,H10,H10,H10,H10,H10,H2,H2,C27,H10,H10,H10,H10,H2,H2,C27,H10,H10,H10,H10,H10,H10,H10,H10,H10,C7,C28,D23,H11,H11,H11,M15,H6,H7,H4,H11,H10,H10,H11,H6,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H5,D23,H10,H10,H10,H10,H10,C23,H10,H10,H10,H10,H10,H2,H10,H10,H10,H10,H10,H2,H2,H10,H10,H10,H10,H10,H2,H2,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,D1,C28,D23,H11,H11,H11,M15,H4,H7,H7,H7,H7,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H5,D23,D23,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,C27,C27,D23,H10,H10,H10,D23,H2,C27,D23,H10,H10,H10,H10,H10,H10,H10,H10,H10,D1,D23,H11,H11,H11,H11,H3,H7,H7,H7,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H5,H11,D23,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,C23,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,D23,D1,H11,H11,H11,H11,H3,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H6,H11,H14,C23,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,D23,C28,C9,H11,H11,H11,H4,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H3,H11,C24,C24,C24,D17,D23,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,H10,C24,H10,H10,H10,H10,H10,H10,H10,H10,H10,D23,D23,H11,H11,C24,C7,H11,H11,H5,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H5,C24,D1,C6,C6,C7,D1,C7,C6,C24,C24,D17,C28,H10,H10,H10,D23,D1,C24,H10,H10,H10,H10,H10,H10,D23,D23,H11,H11,H11,H11,C6,C6,H3,H6,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
