row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A13,A13,A13,A13,A13,A13,A13,A13,A13,A13,,,,,D1,D1,,D1,D1,D1,D1,D1,D1,D1,D1,C9,,,,,,,,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A13,A13,A13,A13,A13,A13,A13,A13,A13,A13,,,,,,,,D1,D1,D1,D1,,,,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A13,A13,A13,A13,A13,A13,A13,A13,A13,A8,,,,,,,,D1,D1,D1,D1,,,,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A13,A13,A13,A13,A13,A13,A13,A13,A13,A8,,,,,,,,D1,D1,D1,,,,,D1,D1,,,,,,,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A13,A13,A13,A13,A8,A13,A13,A13,A13,A8,,,,,,,,D1,D1,,,,,,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A8,A8,A8,A13,A13,A8,A13,A13,A8,,,,,,,,D1,D1,,,,,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A8,,A8,A13,A13,A8,,,,,,,,,,,,,,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A8,,,A8,A13,A13,A8,,,,,,,H7,H7,H7,H7,H7,H7,H7,C8,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A13,A13,,,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A13,,H7,H7,H7,H7,H6,H5,H4,H3,H3,H11,H11,H3,H3,H4,H5,H7,H7,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B23,H7,H4,H3,H4,H11,H22,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H10,H3,H5,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H4,H6,H7,M8,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,H3,H6,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H7,H11,H10,H3,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C29,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H4,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C10,C6,H4,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H5,H10,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C13,C6,H2,H11,H6,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H3,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,D1,C24,H2,C27,H5,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H11,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C24,D1,D1,C24,H2,C27,H4,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H7,,,,,,,,,,,,,,,,H7,H7,H6,H10,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C10,C7,C13,C21,C6,C7,C10,C6,C16,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,H7,H7,H5,H4,H7,H7,,,,,,,,,,,,,,H7,H7,H6,H10,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C6,C6,C27,H2,H2,H2,D17,C10,D17,C21,H5,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,H7,H7,H2,H2,H3,H7,H7,,,,,,,,,,,,H7,H7,H6,H10,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C13,D17,C13,C7,C24,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,H6,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,H7,H6,H2,H2,C27,H7,H7,,,,,,,,,,,H7,H7,H7,C23,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C13,C7,C24,D1,D17,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,H7,H7,C27,H2,H2,H4,H7,,,,,,,,,,,H7,H7,H11,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C24,C10,C21,D1,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H3,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,H7,H7,H3,H2,H2,H11,H7,H7,,,,,,,,,H7,H7,H4,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C6,C7,D17,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,D17,C6,C12,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,H7,H6,H2,H2,H2,H7,H7,,,,,,,,H7,H7,H6,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H6,H5,H10,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C24,C24,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C6,C7,C24,C28,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H7,H11,H2,H10,H5,H7,,,,,,,,H7,H7,H11,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H11,H7,H7,H3,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C6,D17,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C13,C7,C6,H2,H2,C27,H4,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,H7,H7,H6,H11,H4,H6,H6,H7,H7,H7,H7,H7,,,,,H7,H7,H5,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H22,H4,H7,H5,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C6,M3,H6,H11,H2,H2,H2,H2,H2,D17,C6,C10,C7,D17,H2,H2,H2,C27,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,H7,H7,H6,H9,H2,H3,H7,H4,H10,H2,C27,H5,H7,H7,,,,H7,H7,H10,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H11,H7,H14,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H11,H5,H7,H7,H5,H10,H2,H2,H2,H2,H2,C7,C13,C7,C27,H2,H2,H2,H2,H2,C27,H4,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,H7,H6,H2,H2,H2,H6,H4,H2,H2,H2,H2,C27,H7,H7,,,,H7,H5,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H10,H6,H7,H7,H4,H10,H2,H2,H2,H2,H2,H2,H2,C6,C7,C6,H2,H2,H2,H2,H2,H2,C27,C23,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,H7,H3,H2,H2,H2,H7,H3,H2,H2,C27,H2,H2,H5,H7,,,H7,H7,H11,H2,H2,H2,H2,H2,H2,H10,H11,H9,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H10,H4,H11,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C21,H2,H2,H2,H2,H2,H2,H2,C27,C27,H6,H7,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,H7,H7,H11,H2,H2,H2,H4,H7,H4,H5,H5,H2,H2,H6,H7,,,H7,H7,C27,H2,H2,H2,H2,H2,H2,H7,H7,H7,H7,H6,H5,H4,M8,H3,H11,H22,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H3,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,H7,H4,H2,H2,H2,H2,H3,H7,M8,H2,H2,H10,H7,H7,,H7,H7,H4,H2,H2,H2,H2,H2,H2,H2,H4,H7,H4,H5,H6,H7,H7,H7,H7,H7,H7,H7,H6,H4,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,H7,H7,H14,H2,H2,H2,H2,H3,H2,H2,H2,H5,H7,,,H7,H7,H11,H2,H2,H2,H2,H2,H2,H2,H4,H6,H2,H2,H2,H6,H7,H7,H7,H7,H6,H4,H6,H7,H10,H2,H2,H2,H2,H2,H2,H2,H2,H11,H5,H5,H4,M8,H3,H11,H11,H10,H22,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,C27,H6,H7,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,H7,H6,H11,C27,H2,H2,H2,H2,H2,H2,H7,H7,,,H7,H7,C27,H2,H2,H2,H2,H2,H2,H2,H3,H6,H2,H2,H2,H3,H7,H7,H7,H7,H11,H2,H11,H7,H2,H2,H2,H2,H2,H2,H2,H2,H2,H5,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H6,H5,H11,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,C27,H4,H7,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H5,H3,C27,H2,H2,H2,H2,M8,H7,H7,,H7,H6,H2,H2,H2,H2,H2,H2,H2,H2,H11,H7,C23,H2,H2,H2,H3,H6,H6,H11,H2,H2,H4,H6,H2,H2,H2,H2,H2,H2,H2,H2,H2,H6,H4,C27,C27,H6,H7,H7,H7,H7,H7,H5,H5,H6,H7,H4,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,C27,H3,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H11,H2,H2,H2,H2,C27,H7,H7,H7,H7,H4,H2,H2,H2,H2,H2,H2,H2,E11,E1,H6,H5,H2,H2,H2,H2,H2,H2,H2,H2,H11,H7,H11,H2,H2,H2,H2,H2,H2,H2,H2,H2,H6,H4,H2,H2,H4,H7,H7,H7,H7,H5,H2,H2,H3,H7,C27,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,C27,H11,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,H7,H6,C27,H2,H2,H2,H2,H11,H7,H7,H7,H3,H2,H2,H2,H2,H2,H2,H2,E1,E1,H11,H7,H4,H2,H2,H2,H2,H2,H2,C23,H7,H5,H2,H2,H2,H2,H2,H2,H9,C23,H2,H2,H4,H6,H2,H2,H2,H4,H7,H7,H5,C27,H2,H2,H4,H6,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,D23,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H3,H2,H2,H2,H2,H2,H4,H7,H6,H10,H2,H2,H2,H2,H2,H2,H2,F16,F16,E1,M7,H7,H6,H3,H11,H14,H11,H4,H7,H5,C27,H2,H2,H5,M8,H3,H4,H7,H4,H2,H2,C23,H7,H11,H2,H2,H2,H2,C27,H2,H2,H2,H10,H7,H3,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,H7,H6,H10,H2,H2,H2,H2,H2,H6,H7,C23,H2,H2,H2,H2,H2,H2,H2,E11,E1,E1,F16,E1,G17,H7,H7,H7,H7,H6,H11,H2,H2,H2,H2,H4,H7,H7,H6,H3,H2,H2,H2,H2,H4,H3,H2,H2,H2,H2,H2,H2,H2,H10,H6,H6,E1,E11,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H5,H10,H2,H2,H2,C27,H6,H7,H3,C27,H2,H2,H2,H2,H2,H2,E11,E1,F16,F16,E1,E1,E11,E1,M4,H22,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H5,H4,H22,H2,H2,C27,H3,H7,H6,E1,E1,F16,H2,H2,H2,H2,H2,H2,H2,C27,C27,C27,H10,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H5,H10,C27,H2,H10,H5,H6,H11,H11,H10,H2,H2,H2,H2,H2,H2,E11,F16,F16,E1,E1,F16,E1,E11,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H11,H6,H4,H7,H7,H7,H7,G17,E1,E1,F16,E11,H2,H2,H2,H2,H2,H2,H2,C27,C27,C27,H10,H10,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H6,H11,H10,H11,H7,H4,H10,C23,H11,C23,C27,H2,H2,H2,H2,H2,E16,E11,E11,E11,E11,E16,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,E16,E1,M7,M7,M7,E1,F16,E1,F16,E1,E11,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,H10,H10,H6,H7,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H4,H3,H7,H4,H10,H10,H10,H11,H11,H10,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,F16,F16,E1,F16,F16,F16,E1,E1,E11,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,D23,M15,H6,H7,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H7,H3,H10,H10,H10,H10,H10,H11,H14,C23,H10,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,E11,E1,F16,E1,F16,E1,E11,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,D23,H20,M15,H4,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H3,H10,H10,H10,H10,H10,D17,D1,C23,H11,H11,H10,H10,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,E16,E16,E11,H8,E16,H2,H2,H2,H2,H2,H2,H2,C27,H10,C23,H11,H3,M15,H4,H4,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,M8,H10,H10,H10,H10,C6,D1,C24,H10,H10,H10,H14,C28,H11,H14,H10,H10,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,H10,H14,H11,H11,H11,H11,H11,H4,H7,H7,H7,H7,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H4,H10,H10,H10,H10,C6,D1,C7,C28,H10,H10,C24,C6,H10,C23,H14,H11,H11,H11,H14,H10,H10,H10,C27,C27,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,C27,C27,H10,H10,H10,H11,H11,H11,H11,H11,H11,D23,D23,H11,H11,H7,H4,H9,H3,H6,H7,H7,,,,,,,,,,,,,,,,,,,,,,,
