通用色号,颜色名称,HEX,数量
01,轮廓黑,#111317,59
02,主体白,#F7F7F5,164
03,浅灰,#C9CDD2,131
04,阴影灰,#858C95,88
05,电路蓝,#1496E8,21
06,闪电黄,#FFC21A,16
07,腮红粉,#F5C6BC,4
