品牌,色卡版本,品牌色号,图案用途,电子色卡HEX,数量
Artkal,S-5mm官方RGB色卡2024,S13,轮廓黑,#000000,307
Artkal,S-5mm官方RGB色卡2024,S01,主体白,#FFFFFF,722
Artkal,S-5mm官方RGB色卡2024,S78,浅灰,#C8C9C7,532
Artkal,S-5mm官方RGB色卡2024,S159,阴影灰,#88888D,143
Artkal,S-5mm官方RGB色卡2024,S54,电路蓝,#0090DA,103
Artkal,S-5mm官方RGB色卡2024,S27,闪电黄,#FFC72C,68
Artkal,S-5mm官方RGB色卡2024,S19,腮红粉,#F8C1B8,22
