row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
49,,,,,,,,,,,,,,,,,,,,,,,S13,S78,S78,S78,S78,S78,S78,S01,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S54,S78,S78,S78,S78,S78,S78,S78,S78,S159,S13,S159,S01,S01,S01,S159,S13,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,S13,S159,S78,S78,S78,S78,S78,S01,S01,S78,S78,S01,S78,S78,S78,S78,S01,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S54,S78,S78,S78,S78,S159,S13,S13,S159,S01,S01,S01,S78,S13,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S78,S78,S78,S01,S01,S01,S78,S78,S01,S01,S78,S78,S01,S01,S78,S78,S78,S01,S78,S78,S78,S78,S01,S78,S78,S78,S78,S54,S78,S78,S78,S159,S13,S01,S01,S01,S01,S01,S78,S13,S13,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,S13,S78,S78,S78,S78,S78,S78,S01,S78,S01,S01,S01,S78,S78,S01,S01,S78,S78,S01,S01,S01,S78,S78,S01,S01,S78,S78,S78,S78,S54,S78,S78,S78,S13,S78,S01,S01,S01,S01,S78,S13,S13,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S78,S78,S78,S78,S01,S01,S01,S78,S01,S78,S01,S01,S01,S01,S78,S01,S78,S01,S78,S78,S01,S01,S01,S78,S78,S78,S78,S78,S78,S78,S13,S01,S01,S01,S01,S78,S13,S13,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,S13,S159,S78,S78,S78,S78,S01,S01,S78,S78,S01,S01,S01,S78,S78,S01,S78,S01,S78,S01,S78,S01,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S13,S78,S01,S01,S01,S78,S13,S13,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S78,S78,S78,S78,S01,S78,S78,S78,S01,S01,S78,S78,S01,S01,S78,S78,S01,S01,S01,S78,S78,S78,S78,S78,S78,S54,S78,S78,S78,S159,S13,S78,S01,S01,S78,S13,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S78,S78,S78,S78,S78,S78,S78,S01,S78,S78,S78,S01,S01,S78,S78,S78,S01,S01,S78,S78,S78,S78,S78,S78,S54,S78,S78,S78,S159,S13,S13,S159,S159,S13,S13,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S01,S78,S78,S78,S78,S78,S78,S78,S54,S78,S78,S78,S159,S13,,S13,S13,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S54,S78,S78,S13,S13,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S159,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S78,S159,S159,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S13,S54,S78,S78,S78,S54,S54,S54,S54,S54,S54,S54,S78,S78,S78,S78,S78,S78,S78,S78,S159,S159,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S13,S13,S159,S78,S78,S78,S78,S78,S78,S78,S54,S78,S78,S78,S78,S78,S78,S78,S159,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S159,S78,S159,S13,S13,S159,S159,S159,S78,S78,S78,S78,S78,S78,S78,S159,S159,S159,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S159,S01,S78,S78,S159,S159,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,S159,S159,S159,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S159,S78,S01,S01,S01,S78,S78,S13,,,S13,S13,S13,S13,S13,S13,S78,S78,S78,S01,S78,S159,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S159,S01,S01,S01,S01,S01,S01,S01,S78,S13,,,,,,,,S13,S78,S01,S01,S01,S01,S01,S01,S159,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S01,S01,S01,S01,S01,S01,S01,S01,S78,S13,,,,,,,,S13,S01,S01,S01,S01,S01,S01,S01,S01,S159,S13,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S01,S01,S01,S01,S01,S78,S159,S13,S13,,,,,,,,S13,S159,S78,S01,S01,S01,S01,S01,S01,S159,S13,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,,,,,,,,,,S13,S13,S13,S13,S159,S159,S159,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
