短色号,官方色号,类型,R,G,B,HEX
F21,MF21,opaque,235,157,185,#EB9DB9
F22,MF22,opaque,255,212,212,#FFD4D4
F23,MF23,opaque,234,132,116,#EA8474
F24,MF24,opaque,247,193,197,#F7C1C5
F25,MF25,opaque,252,87,104,#FC5768
G1,MG1,opaque,255,231,200,#FFE7C8
G2,MG2,opaque,255,214,195,#FFD6C3
G3,MG3,opaque,238,182,148,#EEB694
G4,MG4,opaque,217,165,140,#D9A58C
G5,MG5,opaque,244,150,48,#F49630
G6,MG6,opaque,241,153,55,#F19937
G7,MG7,opaque,172,116,91,#AC745B
G8,MG8,opaque,105,74,66,#694A42
G9,MG9,opaque,247,204,157,#F7CC9D
G10,MG10,opaque,199,131,47,#C7832F
G11,MG11,opaque,211,195,145,#D3C391
G12,MG12,opaque,230,185,134,#E6B986
G13,MG13,opaque,198,123,79,#C67B4F
G14,MG14,opaque,141,98,66,#8D6242
G15,MG15,opaque,246,247,226,#F6F7E2
G16,MG16,opaque,242,231,215,#F2E7D7
G17,MG17,opaque,120,101,98,#786562
G18,MG18,opaque,254,245,235,#FEF5EB
G19,MG19,opaque,240,171,71,#F0AB47
G20,MG20,opaque,174,105,73,#AE6949
G21,MG21,opaque,191,140,110,#BF8C6E
H1,MH1,transparent,,,,,
H2,MH2,opaque,255,255,255,#FFFFFF
H3,MH3,opaque,155,155,155,#9B9B9B
H4,MH4,opaque,109,109,109,#6D6D6D
H5,MH5,opaque,77,77,77,#4D4D4D
H6,MH6,opaque,58,58,58,#3A3A3A
H7,MH7,opaque,0,0,0,#000000
H8,MH8,opaque,255,240,241,#FFF0F1
H9,MH9,opaque,227,230,223,#E3E6DF
H10,MH10,opaque,226,224,231,#E2E0E7
H11,MH11,opaque,188,184,181,#BCB8B5
H12,MH12,opaque,247,243,225,#F7F3E1
H13,MH13,opaque,234,221,200,#EADDC8
H14,MH14,opaque,184,200,197,#B8C8C5
H15,MH15,opaque,153,171,172,#99ABAC
H16,MH16,opaque,68,66,54,#444236
H17,MH17,opaque,250,251,245,#FAFBF5
H18,MH18,opaque,254,254,238,#FEFEEE
H19,MH19,opaque,251,242,228,#FBF2E4
H20,MH20,opaque,158,174,173,#9EAEAD
H21,MH21,opaque,253,255,242,#FDFFF2
H22,MH22,opaque,237,237,231,#EDEDE7
H23,MH23,opaque,180,184,167,#B4B8A7
M1,MM1,opaque,174,187,168,#AEBBA8
M2,MM2,opaque,114,147,118,#729376
M3,MM3,opaque,106,136,144,#6A8890
M4,MM4,opaque,190,179,157,#BEB39D
M5,MM5,opaque,184,183,140,#B8B78C
M6,MM6,opaque,178,172,147,#B2AC93
M7,MM7,opaque,188,159,148,#BC9F94
M8,MM8,opaque,150,131,129,#968381
M9,MM9,opaque,179,157,136,#B39D88
M10,MM10,opaque,183,150,163,#B796A3
M11,MM11,opaque,176,150,185,#B096B9
M12,MM12,opaque,104,89,81,#685951
M13,MM13,opaque,199,149,130,#C79582
M14,MM14,opaque,202,105,79,#CA694F
M15,MM15,opaque,146,159,169,#929FA9
